cell_id,x_m,y_m,z_m,volume_m3,overset_cell_type,zone_id,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_Pa,rho_kg_per_m3,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_kg_per_m_s
22,-0.875,0.0,-1.966665,0.00033335,0,0,1.07098898432,0.0,-0.00389667222176,299.999926992,99999.9454279,1.15862229868,5.86772721729e-13,1.21344903967e-12,2.5536466233e-14,2.95871192069e-14
23,-0.825,4.81867632216e-20,-1.966665,0.00033335,0,0,1.07687460988,0.0,-0.00398203974692,299.999920715,99999.9382052,1.15862223923,5.38619467505e-13,1.0356158207e-12,2.52120364018e-14,2.92112260715e-14
24,-0.775,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.08287209165,0.0,-0.00404779225952,299.999914283,99999.9307852,1.1586221781,4.97328034933e-13,8.93168149364e-13,2.49227043144e-14,2.8875997957e-14
25,-0.725,0.0,-1.966665,0.00033335,0,0,1.08895063313,0.0,-0.00409201741696,299.999907728,99999.9232022,1.15862211556,4.61591455175e-13,7.7752706419e-13,2.46628076595e-14,2.8574874386e-14
26,-0.675,4.81867632216e-20,-1.966665,0.00033335,0,0,1.09507667186,0.0,-0.00411293250439,299.999901085,99999.9154951,1.15862205192,4.30404841269e-13,6.82514411827e-13,2.44278350405e-14,2.83026283585e-14
27,-0.625,0.0,-1.966665,0.00033335,0,0,1.10121411619,0.0,-0.00410894668703,299.999894392,99999.9077067,1.15862198753,4.02984535242e-13,6.03601264917e-13,2.42141444318e-14,2.80550401479e-14
28,-0.575,4.81867632216e-20,-1.966665,0.00033335,0,0,1.10732467668,0.0,-0.00407872503206,299.999887691,99999.8998841,1.15862192277,3.78711531259e-13,5.3741400895e-13,2.40187600934e-14,2.78286620019e-14
29,-0.525,0.0,-1.966665,0.00033335,0,0,1.11336829286,0.0,-0.00402125180655,299.999881027,99999.892078,1.15862185806,3.5709118112e-13,4.81402836031e-13,2.38392240096e-14,2.76206460167e-14
30,-0.475,1.74216795867e-18,-1.966665,0.00033335,0,0,1.11930365258,0.0,-0.00393588977658,299.999874448,99999.8843421,1.15862179384,3.3772403139e-13,4.33614930603e-13,2.36734858502e-14,2.74286166422e-14
31,-0.425,1.74216795867e-18,-1.966665,0.00033335,0,0,1.12508879544,0.0,-0.00382243227075,299.999868001,99999.8767325,1.15862173057,3.20284404891e-13,3.92536540486e-13,2.35198205753e-14,2.72505752175e-14
32,-0.375,0.0,-1.966665,0.00033335,0,0,1.13068178726,0.0,-0.00368114438719,299.999861738,99999.8693068,1.15862166872,3.04504455868e-13,3.56981230453e-13,2.33767661042e-14,2.70848277529e-14
33,-0.325,1.74216795867e-18,-1.966665,0.00033335,0,0,1.13604144695,0.0,-0.00351279022041,299.999855706,99999.862123,1.15862160878,2.90162150601e-13,3.26009635151e-13,2.32430756968e-14,2.69299297568e-14
34,-0.275,1.74216795867e-18,-1.966665,0.00033335,0,0,1.1411281027,0.0,-0.00331864316287,299.999849956,99999.8552387,1.15862155122,2.77072100697e-13,2.98871039361e-13,2.31176812026e-14,2.67846436556e-14
35,-0.225,1.74216795867e-18,-1.966665,0.00033335,0,0,1.14590435021,0.0,-0.00310047748559,299.999844533,99999.8487097,1.15862149652,2.65078494772e-13,2.74960306402e-13,2.2999664344e-14,2.66479055216e-14
36,-0.175,0.0,-1.966665,0.00033335,0,0,1.15033578397,0.0,-0.00286054019104,299.999839481,99999.8425887,1.15862144511,2.54049591248e-13,2.53785746185e-13,2.28882339552e-14,2.65187987011e-14
37,-0.125,0.0,-1.966665,0.00033335,0,0,1.15439167155,0.0,-0.00260150356157,299.999834841,99999.8369247,1.1586213974,2.43873384844e-13,2.34944879758e-13,2.27827076322e-14,2.63965325533e-14
38,-0.075,0.0,-1.966665,0.00033335,0,0,1.15804554235,0.0,-0.00232640012064,299.999830647,99999.8317613,1.15862135377,2.34454164372e-13,2.18105971789e-13,2.26824966168e-14,2.62804249371e-14
39,-0.025,0.0,-1.966665,0.00033335,0,0,1.16127566578,0.0,-0.00203854282386,299.999826928,99999.827136,1.15862131455,2.25709754037e-13,2.02993822996e-13,2.25870930868e-14,2.6169887484e-14
40,0.025,0.0,-1.966665,0.00033335,0,0,1.1640653995,0.0,-0.00174143456409,299.999823708,99999.8230798,1.15862127998,2.17569284063e-13,1.89378742282e-13,2.24960592291e-14,2.60644129385e-14
41,0.075,0.0,-1.966665,0.00033335,0,0,1.16640339399,0.0,-0.00143867146012,299.999821003,99999.819616,1.15862125029,2.09971375125e-13,1.77067915852e-13,2.24090176607e-14,2.59635640598e-14
42,0.125,0.0,-1.966665,0.00033335,0,0,1.16828364953,0.0,-0.00113384505849,299.999818825,99999.8167601,1.15862122562,2.02862649593e-13,1.65898600358e-13,2.2325642929e-14,2.5866963773e-14
43,0.175,0.0,-1.966665,0.00033335,0,0,1.16970542366,0.0,-0.000830446963161,299.999817175,99999.8145199,1.15862120603,1.96196503352e-13,1.55732716563e-13,2.22456538993e-14,2.57742863498e-14
44,0.225,0.0,-1.966665,0.00033335,0,0,1.17067301289,0.0,-0.000531784796298,299.999816052,99999.8128955,1.15862119155,1.89932087321e-13,1.46452527231e-13,2.21688069359e-14,2.56852495073e-14
45,0.275,1.74216795867e-18,-1.966665,0.00033335,0,0,1.1711953799,0.0,-0.000240893279386,299.999815446,99999.8118797,1.15862118212,1.84033459365e-13,1.37957161127e-13,2.20948898196e-14,2.55996073617e-14
46,0.325,1.74216795867e-18,-1.966665,0.00033335,0,0,1.17128572945,0.0,3.95054356427e-05,299.999815341,99999.8114583,1.15862117764,1.78468903874e-13,1.30159841127e-13,2.20237167139e-14,2.55171445951e-14
47,0.375,0.0,-1.966665,0.00033335,0,0,1.17096110901,0.0,0.000307138724089,299.99981572,99999.8116115,1.15862117795,1.73210306939e-13,1.2298554289e-13,2.19551247671e-14,2.54376725198e-14
48,0.425,1.74216795867e-18,-1.966665,0.00033335,0,0,1.17024165414,0.0,0.000560046848397,299.999816557,99999.812314,1.15862118286,1.68232627363e-13,1.1636910875e-13,2.18889664898e-14,2.5361020246e-14
49,0.475,1.74216795867e-18,-1.966665,0.00033335,0,0,1.16915034693,0.0,0.000796681556899,299.999817826,99999.8135354,1.15862119211,1.63513509376e-13,1.1025375265e-13,2.18251083481e-14,2.52870330522e-14
50,0.525,0.0,-1.966665,0.00033335,0,0,1.16771217981,0.0,0.00101588555347,299.999819496,99999.8152417,1.15862120543,1.59032928275e-13,1.04589796318e-13,2.17634280298e-14,2.52155692182e-14
51,0.575,4.81867632216e-20,-1.966665,0.00033335,0,0,1.165953587,0.0,0.00121686520135,299.999821535,99999.8173963,1.15862122252,1.54772890902e-13,9.93336227316e-14,2.17038122536e-14,2.51464974866e-14
52,0.625,0.0,-1.966665,0.00033335,0,0,1.16390193733,0.0,0.00139916967462,299.99982391,99999.8199606,1.15862124306,1.50717181747e-13,9.44468055676e-14,2.16461550642e-14,2.5079695088e-14
53,0.675,4.81867632216e-20,-1.966665,0.00033335,0,0,1.1615850443,0.0,0.00156266103618,299.999826587,99999.8228953,1.15862126672,1.46851147063e-13,8.98953817847e-14,2.15903565556e-14,2.50150462615e-14
54,0.725,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.15903072866,0.0,0.001707477677,299.999829532,99999.8261605,1.15862129318,1.43161510624e-13,8.56492411486e-14,2.15363219387e-14,2.4952441175e-14
55,0.775,0.0,-1.966665,0.00033335,0,0,1.15626644366,0.0,0.00183399537083,299.999832712,99999.8297169,1.15862132211,1.39636215867e-13,8.16816116164e-14,2.14839609018e-14,2.48917751842e-14
56,0.825,4.81867632216e-20,-1.966665,0.00033335,0,0,1.15331896044,0.0,0.00194278783646,299.999836094,99999.8335258,1.15862135318,1.36264289985e-13,7.7968623703e-14,2.14331871705e-14,2.48329483224e-14
57,0.875,0.0,-1.966665,0.00033335,0,0,1.15021411076,0.0,0.00203458844485,299.999839648,99999.8375501,1.15862138608,1.33035726409e-13,7.44889401279e-14,2.1383918235e-14,2.47758649853e-14
58,0.925,4.81867632216e-20,-1.966665,0.00033335,0,0,1.14697658443,0.0,0.00211025402877,299.999843344,99999.8417541,1.15862142052,1.29941382664e-13,7.12234397073e-14,2.13360751717e-14,2.47204337238e-14
59,0.975,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.14362977607,0.0,0.00217073197901,299.999847153,99999.8461042,1.15862145621,1.26972891172e-13,6.81549465392e-14,2.12895825177e-14,2.46665670987e-14
60,1.025,0.0,-1.966665,0.00033335,0,0,1.14019567633,0.0,0.0022170309437,299.999851051,99999.8505688,1.15862149289,1.24122580957e-13,6.52679972064e-14,2.1244368123e-14,2.46141815102e-14
61,1.075,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.1366948012,0.0,0.00225019538629,299.999855012,99999.8551186,1.15862153031,1.21383408595e-13,6.25486401687e-14,2.12003628828e-14,2.45631968864e-14
62,1.125,0.0,-1.966665,0.00033335,0,0,1.13314615435,0.0,0.00227128404523,299.999859015,99999.8597265,1.15862156824,1.18748897077e-13,5.99842626749e-14,2.11575002098e-14,2.45135360731e-14
63,1.175,0.0,-1.966665,0.00033335,0,0,1.12956721687,0.0,0.00228135198404,299.99986304,99999.8643679,1.15862160647,1.16213081333e-13,5.75634417257e-14,2.11157149074e-14,2.44651235279e-14
64,1.225,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.12597395919,0.0,0.00228143610582,299.999867069,99999.8690203,1.15862164482,1.13770459469e-13,5.52758168533e-14,2.10749408444e-14,2.44178826256e-14
65,1.275,0.0,-1.966665,0.00033335,0,0,1.1223808713,0.0,0.00227254369779,299.999871085,99999.8736635,1.15862168311,1.11415948667e-13,5.31119841175e-14,2.1035106184e-14,2.43717301313e-14
66,1.325,0.0,-1.966665,0.00033335,0,0,1.11880100694,0.0,0.00225564368683,299.999875074,99999.8782794,1.15862172119,1.09144844726e-13,5.10634132357e-14,2.09961237173e-14,2.43265649997e-14
67,1.375,0.0,-1.966665,0.00033335,0,0,1.11524603868,0.0,0.00223166018161,299.999879022,99999.882852,1.15862175892,1.06952783907e-13,4.91223938441e-14,2.0957871515e-14,2.42822459579e-14
68,1.425,0.0,-1.966665,0.00033335,0,0,1.11172632102,0.0,0.00220146796636,299.99988292,99999.8873672,1.15862179618,1.04835705108e-13,4.728202416e-14,2.0920154614e-14,2.42385471154e-14
69,1.475,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.1082509591,0.0,0.00216588959983,299.999886757,99999.8918129,1.15862183288,1.02789809171e-13,4.55362681155e-14,2.08826299913e-14,2.41950710359e-14
70,1.525,0.0,-1.966665,0.00033335,0,0,1.10482788108,0.0,0.00212569380904,299.999890525,99999.8961784,1.15862186891,1.0081150974e-13,4.38801298949e-14,2.08446612816e-14,2.41510804108e-14
71,1.575,0.0,-1.966665,0.00033335,0,0,1.10146391262,0.0,0.00208159500971,299.999894217,99999.9004549,1.1586219042,9.88973658469e-14,4.2310035165e-14,2.08050407899e-14,2.4105175977e-14
72,1.625,0.0,-1.966665,0.00033335,0,0,1.09816485219,0.0,0.0020342535623,299.999897827,99999.9046349,1.15862193869,9.70439786067e-14,4.08245793618e-14,2.07614641423e-14,2.40546878346e-14
73,1.675,0.0,-1.966665,0.00033335,0,0,1.09493554594,0.0,0.00198427680051,299.999901351,99999.9087123,1.15862197232,9.52478206289e-14,3.94259276889e-14,2.07095509978e-14,2.39945408231e-14
74,1.725,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.09177996155,0.0,0.00193222053009,299.999904786,99999.9126822,1.15862200506,9.35049423243e-14,3.81223676563e-14,2.06410495961e-14,2.39151742696e-14
75,1.775,0.0,-1.966665,0.00033335,0,0,1.0887012603,0.0,0.00187859085588,299.999908127,99999.9165407,1.15862203686,9.18104569532e-14,3.69328862487e-14,2.05406205036e-14,2.37988155663e-14
76,1.825,0.0,-1.966665,0.00033335,0,0,1.08570186669,0.0,0.00182384641436,299.999911374,99999.9202852,1.15862206771,9.01576335491e-14,3.58952622088e-14,2.03802912928e-14,2.36130552382e-14
77,1.875,0.0,-1.966665,0.00033335,0,0,1.08278353553,0.0,0.00176840067023,299.999914526,99999.9239137,1.15862209758,8.85363070471e-14,3.50801247094e-14,2.01105610582e-14,2.33005404368e-14
78,1.925,0.0,-1.966665,0.00033335,0,0,1.07994741589,0.0,0.00171262442655,299.999917581,99999.9274252,1.15862212647,8.69301315875e-14,3.46147209333e-14,1.96481809377e-14,2.27648171792e-14
79,1.975,-8.46990597724e-19,-1.966665,0.00033335,0,0,1.07719411176,0.0,0.0016568483694,299.99992054,99999.9308194,1.15862215437,8.53119589322e-14,3.47213467923e-14,1.88653894745e-14,2.1857858196e-14
80,2.025,0.0,-1.966665,0.00033335,0,0,1.07452373939,0.0,0.00160136569613,299.999923404,99999.9340965,1.15862218128,8.36363852199e-14,3.57751770954e-14,1.75975102027e-14,2.03888656561e-14
81,2.075,0.0,-1.966665,0.00033335,0,0,1.0719359811,0.0,0.00154643466698,299.999926173,99999.9372573,1.15862220721,8.18284713755e-14,3.83817020064e-14,1.57009943277e-14,1.81915207033e-14
82,2.125,0.0,-1.966665,0.00033335,0,0,1.06943013552,0.0,0.00149228122854,299.999928849,99999.9403033,1.15862223217,7.97681735858e-14,4.34609933294e-14,1.31765634579e-14,1.52666593659e-14
83,2.175,-4.81867632216e-20,-1.966665,0.00033335,0,0,1.06700516448,0.0,0.00143910150792,299.999931433,99999.9432361,1.15862225617,7.72715743817e-14,5.23023518939e-14,1.02745027558e-14,1.19042675639e-14
84,2.225,0.0,-1.966665,0.00033335,0,0,1.0646597361,0.0,0.00138706423904,299.999933928,99999.9460579,1.15862227923,7.40726095556e-14,6.65284708817e-14,7.42250088166e-15,8.59987488907e-15
85,2.275,0.0,-1.966665,0.00033335,0,0,1.06239226474,0.0,0.00133631316754,299.999936336,99999.9487711,1.15862230137,6.98105116932e-14,8.79281718514e-14,4.98834070608e-15,5.77960278887e-15
86,2.325,0.0,-1.966665,0.00033335,0,0,1.06020094753,0.0,0.00128696923877,299.999938659,99999.9513783,1.1586223226,6.40214464147e-14,1.18274927719e-13,3.11889519788e-15,3.61362159813e-15
87,2.375,0.0,-1.966665,0.00033335,0,0,1.05808379757,0.0,0.00123913282689,299.999940899,99999.9538825,1.15862234296,5.61011136659e-14,1.59698389107e-13,1.77371949394e-15,2.05507103583e-15
88,2.425,-4.81867632216e-20,-1.966665,0.00033335,0,0,1.05603867418,0.0,0.00119288578018,299.999943061,99999.9562866,1.15862236247,4.50945754586e-14,2.17435280048e-13,8.4170731714e-16,9.75220920294e-16
89,2.475,0.0,-1.966665,0.00033335,0,0,1.05406331021,0.0,0.00114829328813,299.999945145,99999.958594,1.15862238115,2.88175027962e-14,3.08970321099e-13,2.41901428593e-16,2.80272409201e-16
90,2.525,0.0,-1.966665,0.00033335,0,0,1.0521553364,0.0,0.00110540577396,299.999947156,99999.9608078,1.15862239904,4.62192689109e-15,4.75019579785e-13,4.04740945135e-18,4.68941924841e-18
91,2.575,0.0,-1.966665,0.00033335,0,0,1.05031230335,0.0,0.00106426055688,299.999949096,99999.9629314,1.15862241615,1e-15,7.73094244489e-13,1.16415302069e-19,1.3488137856e-19
92,2.625,0.0,-1.966665,0.00033335,0,0,1.04853170082,0.0,0.0010248834334,299.999950968,99999.9649684,1.15862243252,1e-15,1.28545467454e-12,7.00141372406e-20,8.11199500005e-20
93,2.675,0.0,-1.966665,0.00033335,0,0,1.04681097486,0.0,0.000987290142901,299.999952775,99999.966922,1.15862244818,1e-15,2.14824344669e-12,4.1894693145e-20,4.85401319372e-20
94,2.725,0.0,-1.966665,0.00033335,0,0,1.04514754264,0.0,0.000951487722795,299.999954521,99999.9687959,1.15862246315,1e-15,3.58651965452e-12,2.50939653674e-20,2.90744319641e-20
95,2.775,0.0,-1.966665,0.00033335,0,0,1.04353880551,0.0,0.000917475768257,299.999956207,99999.9705935,1.15862247746,1e-15,5.9671400828e-12,1.50826021764e-20,1.74750419002e-20
96,2.825,0.0,-1.966665,0.00033335,0,0,1.04198216012,0.0,0.000885247519577,299.999957838,99999.9723182,1.15862249114,1e-15,9.88324495352e-12,9.1063208919e-21,1.05507881969e-20
97,2.875,0.0,-1.966665,0.00033335,0,0,1.0404750078,0.0,0.000854790956108,299.999959415,99999.9739736,1.15862250423,1e-15,1.62880413876e-11,5.52552623475e-21,6.40199904329e-21
98,2.925,0.0,-1.966665,0.00033335,0,0,1.03901476258,0.0,0.000826089716723,299.999960942,99999.9755629,1.15862251674,1e-15,2.67051956526e-11,3.37013071055e-21,3.90470932561e-21
99,2.975,0.0,-1.966665,0.00033335,0,0,1.03759885774,0.0,0.000799123935644,299.999962422,99999.9770896,1.15862252872,1e-15,4.35581133839e-11,2.06620519137e-21,2.39395188367e-21
100,3.025,0.0,-1.966665,0.00033335,0,0,1.03622475104,0.0,0.000773871013684,299.999963858,99999.9785569,1.15862254017,1.2189058075e-15,7.06832321873e-11,1.8917615811e-21,2.19183760849e-21
101,3.075,0.0,-1.966665,0.00033335,0,0,1.034889929,0.0,0.000750306335082,299.999965252,99999.9799682,1.15862255114,2.13996077523e-15,1.14127380605e-10,3.61130596857e-21,4.18414053424e-21
102,3.125,0.0,-1.966665,0.00033335,0,0,1.03359190995,0.0,0.000728403829293,299.999966607,99999.9813266,1.15862256164,3.73742104919e-15,1.83382704905e-10,6.85532722158e-21,7.94273678636e-21
103,3.175,0.0,-1.966665,0.00033335,0,0,1.03232824637,0.0,0.000708136543693,299.999967925,99999.9826354,1.15862257171,6.49232639644e-15,2.93294517732e-10,1.2934190563e-20,1.49858451331e-20
104,3.225,0.0,-1.966665,0.00033335,0,0,1.03109652633,0.0,0.000689477115496,299.99996921,99999.9838975,1.15862258137,1.12164645271e-14,4.67002960428e-10,2.42457068657e-20,2.80916234759e-20
105,3.275,0.0,-1.966665,0.00033335,0,0,1.02989437422,0.0,0.000672398166076,299.999970463,99999.985116,1.15862259065,1.92718905053e-14,7.4047231886e-10,4.51421584265e-20,5.23027245436e-20
106,3.325,0.0,-1.966665,0.00033335,0,0,1.0287194509,0.0,0.000656872695497,299.999971688,99999.986294,1.15862259956,3.29308772407e-14,1.16945922169e-09,8.34572416169e-20,9.66954462346e-20
107,3.375,0.0,-1.966665,0.00033335,0,0,1.02756945328,0.0,0.00064287436155,299.999972886,99999.9874343,1.15862260815,5.5962793224e-14,1.84023087975e-09,1.53168324361e-19,1.77464283457e-19
108,3.425,0.0,-1.966665,0.00033335,0,0,1.02644211352,0.0,0.000630377736507,299.999974061,99999.9885399,1.15862261642,9.45857140978e-14,2.88605862284e-09,2.78989883176e-19,3.23243988399e-19
109,3.475,0.0,-1.966665,0.00033335,0,0,1.02533519709,0.0,0.000619358442848,299.999975213,99999.9896134,1.1586226244,1.59001311652e-13,4.51262553156e-09,5.04213683083e-19,5.84193380752e-19
110,3.525,0.0,-1.966665,0.00033335,0,0,1.02424650375,0.0,0.000609793270684,299.999976347,99999.9906578,1.15862263212,2.65858233561e-13,7.03723142045e-09,9.03942708663e-19,1.0473284804e-18
111,3.575,0.0,-1.966665,0.00033335,0,0,1.02317385437,0.0,0.000601660148505,299.999977464,99999.9916756,1.1586226396,4.42187592623e-13,1.09494242098e-08,1.60717930908e-18,1.86211433339e-18
112,3.625,0.0,-1.966665,0.00033335,0,0,1.02211513494,0.0,0.000594937963356,299.999978565,99999.9926697,1.15862264686,7.31664931368e-13,1.70050290053e-08,2.83328075749e-18,3.28270325053e-18
113,3.675,0.0,-1.966665,0.00033335,0,0,1.02106810327,0.0,0.000589606215125,299.999979655,99999.9936426,1.15862265392,1.2045406717e-12,2.63724433768e-08,4.9514805592e-18,5.73689754632e-18
114,3.725,0.0,-1.966665,0.00033335,0,0,1.02003117343,0.0,0.000585644115255,299.999980733,99999.9945971,1.15862266081,1.97334964649e-12,4.08610654359e-08,8.57710856823e-18,9.93763235137e-18
115,3.775,0.0,-1.966665,0.00033335,0,0,1.01900016576,0.0,0.000583030079273,299.999981805,99999.9955344,1.15862266753,3.21773062853e-12,6.32793032809e-08,1.47258437986e-17,1.70616964235e-17
116,3.825,0.0,-1.966665,0.00033335,0,0,1.01798169625,0.0,0.000581737424792,299.999982863,99999.9964635,1.1586226742,5.22364570849e-12,9.79977746251e-08,2.50595762333e-17,2.90345932296e-17
117,3.875,0.0,-1.966665,0.00033335,0,0,1.01693792619,0.0,0.000581736137794,299.999983947,99999.9973599,1.1586226804,8.44548638574e-12,1.51838070094e-07,4.22776818902e-17,4.89838811125e-17
118,3.925,0.0,-1.966665,0.00033335,0,0,1.01601445037,0.0,0.000582985336727,299.999984908,99999.9983374,1.158622688,1.36049627236e-11,2.35477333189e-07,7.07437558357e-17,8.19653205459e-17
119,3.975,0.0,-1.966665,0.00033335,0,0,1.0146000327,0.0,0.000585355945611,299.999986364,99999.9989398,1.15862268935,2.18385875577e-11,3.65405005441e-07,1.17467333362e-16,1.36100317691e-16
120,-1.975,2.58953974028e-18,-1.9,0.0003333,0,0,1.0000975138,0.0,-0.000540949849264,299.999999903,100000.027533,1.1586229684,5.29118418041e-05,0.0739889741224,3.40550295862e-09,3.9456939468e-09
121,-1.925,0.0,-1.9,0.0003333,0,0,1.00046601248,0.0,-0.00108265215141,299.999999536,100000.027307,1.15862296719,1.39753947589e-06,0.00103088468981,1.70514214187e-10,1.9756168479e-10
122,-1.875,0.0,-1.9,0.0003333,0,0,1.00114700064,0.0,-0.00162547691063,299.999998859,100000.026679,1.15862296254,6.76967516135e-08,2.66265161128e-05,1.54904424733e-11,1.79475823495e-11
123,-1.825,0.0,-1.9,0.0003333,0,0,1.00209933561,0.0,-0.00216984806453,299.99999791,100000.025728,1.15862295518,5.8052498519e-09,1.24020190768e-06,2.44563672018e-12,2.83357084403e-12
124,-1.775,-2.6377265035e-18,-1.9,0.0003333,0,0,1.00332016624,0.0,-0.00271605437083,299.999996693,100000.024469,1.15862294529,8.34421705485e-10,9.97131459813e-08,6.28436319163e-13,7.28120739036e-13
125,-1.725,2.6377265035e-18,-1.9,0.0003333,0,0,1.00481500738,0.0,-0.00326424324878,299.999995201,100000.022891,1.15862293278,1.86645370807e-10,1.30114600594e-08,2.40963311237e-13,2.79185618357e-13
126,-1.675,0.0,-1.9,0.0003333,0,0,1.00658541737,0.0,-0.00381438486911,299.999993431,100000.020991,1.15862291759,5.96141953528e-11,2.5556671451e-09,1.2515194183e-13,1.45003907986e-13
127,-1.625,0.0,-1.9,0.0003333,0,0,1.00863211581,0.0,-0.00436622951264,299.99999138,100000.018765,1.15862289973,2.49834909472e-11,6.98015789462e-10,8.04791734513e-14,9.32450133118e-14
