cell_id,x_m,y_m,z_m,volume_m3,T_K
124,0.00380736,0.00575748,-0.0142251,1.59026e-09,546.718
125,0.00459269,0.000619783,-0.0146586,1.07529e-10,419.438
126,0.0043388,0.00183725,-0.0146452,1.99771e-10,455.69
127,0.00388834,0.0029831,-0.0148291,4.8476e-10,486.903
128,0.00364422,0.00418455,-0.0149627,8.6013e-10,510.582
129,0.00361111,0.00572919,-0.0149623,7.5243e-10,538.015
130,0.0050144,0.000668859,-0.0140953,4.02985e-10,424.573
131,0.004942,0.00196615,-0.0140953,4.76216e-10,457.627
132,0.0048691,0.00326186,-0.0140955,5.47391e-10,487.1
133,0.00479732,0.00455944,-0.0140951,6.23404e-10,512.862
134,0.00472482,0.00586038,-0.0140951,6.97041e-10,540.837
135,0.000581315,0.00492769,-0.016868,1.39261e-09,523.658
136,0.000552954,0.00494591,-0.018158,1.29761e-09,506.628
137,0.000605783,0.00610432,-0.0169175,1.89038e-09,528.164
138,0.000662339,0.0063803,-0.0182081,2.87966e-09,511.888
139,0.00170537,0.00469017,-0.0166997,1.69787e-09,517.947
140,0.00166114,0.00471136,-0.0179896,1.63618e-09,502.167
141,0.00172725,0.00603192,-0.0167376,2.24951e-09,526.159
142,0.0018795,0.00629925,-0.018017,3.22873e-09,509.687
143,0.0027704,0.00428435,-0.0163444,1.93451e-09,508.774
144,0.0027629,0.0042895,-0.0176413,1.92641e-09,494.013
145,0.0028516,0.00591817,-0.0163677,2.55342e-09,522.95
146,0.00307056,0.00617842,-0.0176314,3.52182e-09,506.65
147,0.00465318,0.000620522,-0.015471,5.60743e-10,409.828
148,0.00464913,0.000632003,-0.0168015,5.83252e-10,398.09
149,0.00443083,0.0018821,-0.0154717,9.501e-10,447.365
150,0.00442328,0.00188412,-0.0168397,1.02463e-09,435.686
151,0.00408079,0.00304028,-0.0156448,1.76029e-09,477.405
152,0.00407824,0.00302246,-0.0169895,1.86421e-09,464.974
153,0.00384594,0.0042686,-0.0157996,2.49762e-09,500.378
154,0.00384596,0.00426864,-0.0171075,2.49744e-09,486.872
155,0.00393782,0.00591082,-0.0158016,2.7446e-09,521.183
156,0.00420824,0.00617703,-0.0170554,3.47876e-09,505.999
157,0.0053077,0.000716092,-0.01496,2.00066e-09,413.784
158,0.00561175,0.000803593,-0.0162942,3.47516e-09,400.921
159,0.00524221,0.00206454,-0.0149641,2.09046e-09,448.4
160,0.00551552,0.00225196,-0.0163099,3.09608e-09,438.835
161,0.00518703,0.00337078,-0.0149575,2.2645e-09,478.306
162,0.00546077,0.0035795,-0.0162919,3.28097e-09,468.41
163,0.0051331,0.00467859,-0.0149492,2.45752e-09,503.207
164,0.00540639,0.00490746,-0.0162732,3.47249e-09,491.639
165,0.00511837,0.00603711,-0.0149456,2.70765e-09,523.861
166,0.0054963,0.00635747,-0.0162506,3.54201e-09,510.672
167,0.00618302,0.00214223,-0.013838,2.79555e-09,451.544
168,0.00688644,0.00250931,-0.0151201,3.66089e-09,446.64
169,0.00695545,0.0020517,-0.012567,2.42656e-09,449.751
170,0.00796101,0.00242888,-0.0135709,3.45992e-09,444.966
171,0.00618707,0.000755212,-0.013845,3.03205e-09,417.812
172,0.00689593,0.00091606,-0.0151391,5.01329e-09,399.666
173,0.00695343,0.000707264,-0.0125813,2.54283e-09,417.538
174,0.00797805,0.000882885,-0.0136086,4.52194e-09,398.405
175,0.00695261,0.0033571,-0.0125642,2.39313e-09,479.18
176,0.00794224,0.00378218,-0.0135613,3.38435e-09,477.64
177,0.00617896,0.00345808,-0.0138291,2.72712e-09,481.073
178,0.00687577,0.003868,-0.0150955,3.55916e-09,478.517
179,0.00746025,0.00195452,-0.0112512,2.36261e-09,447.22
180,0.00868122,0.00234611,-0.0118887,3.4942e-09,443.593
181,0.00771099,0.00195,-0.0099222,2.37696e-09,447.09
182,0.0090536,0.00233982,-0.0101195,3.18016e-09,443.632
183,0.00746025,0.000654516,-0.0112512,2.36261e-09,416.649
184,0.00872513,0.000849048,-0.0119101,4.34597e-09,398.127
185,0.00771099,0.00065,-0.0099222,2.37696e-09,416.737
186,0.00910047,0.000843913,-0.010126,3.94697e-09,398.322
187,0.00746025,0.00324802,-0.0112512,2.33898e-09,476.345
188,0.00866508,0.00369201,-0.0118836,3.39023e-09,476.255
189,0.00771108,0.00324676,-0.00992107,2.3651e-09,476.184
190,0.00903635,0.00368778,-0.0101172,3.09053e-09,476.347
191,0.00697393,0.00473132,-0.0125533,2.64672e-09,506.082
192,0.00792077,0.00518542,-0.0135159,3.61428e-09,504.513
193,0.006949,0.00611294,-0.0125552,2.41102e-09,527.581
194,0.00790032,0.00661634,-0.0135391,3.24281e-09,525.285
195,0.00617491,0.00477668,-0.0138179,2.71368e-09,506.694
196,0.00686639,0.00522947,-0.0150655,3.49923e-09,503.706
197,0.00616993,0.00610131,-0.0138085,2.65935e-09,527.342
198,0.0068539,0.00658965,-0.0150413,3.38432e-09,523.182
199,0.00748549,0.00467969,-0.0112676,2.82727e-09,504.593
200,0.00861278,0.00513966,-0.0118524,3.94385e-09,503.971
201,0.00744637,0.00612016,-0.0112566,2.35901e-09,527.418
202,0.00861339,0.00663203,-0.0118591,3.30352e-09,525.756
203,0.00772215,0.00461326,-0.00994472,2.59864e-09,503.221
204,0.00899029,0.00509168,-0.0101335,3.34971e-09,503.032
205,0.0077111,0.00605522,-0.00989985,2.56851e-09,526.257
206,0.00895575,0.00656643,-0.0100827,3.32746e-09,524.656
207,0.000527308,0.00496188,-0.0196352,1.53152e-09,488.759
208,0.000527309,0.00496188,-0.0212632,1.53148e-09,475.439
209,0.000549928,0.0049496,-0.0229243,1.64191e-09,468.657
210,0.000690188,0.00651399,-0.0196334,4.26121e-09,491.64
211,0.000690187,0.00651398,-0.0212615,4.26108e-09,477.207
212,0.000694745,0.00651504,-0.022912,4.37316e-09,470.159
213,0.00162395,0.00471123,-0.0194526,2.19669e-09,485.537
214,0.00162946,0.00471535,-0.0211379,2.25767e-09,472.011
215,0.00164265,0.00471502,-0.0228619,2.24748e-09,464.942
216,0.00195932,0.00643371,-0.0194565,4.72663e-09,489.528
217,0.0019619,0.00642299,-0.0211402,4.85361e-09,474.579
218,0.00195738,0.00643136,-0.0228726,5.00426e-09,467.169
219,0.00278034,0.0043107,-0.0191865,3.01531e-09,477.619
220,0.00282614,0.00438039,-0.020992,3.54003e-09,464.043
221,0.00287889,0.00444195,-0.0228367,4.0742e-09,456.902
222,0.00320106,0.00632737,-0.0191299,5.39053e-09,486.378
223,0.00321502,0.00635957,-0.0209544,5.42605e-09,470.319
224,0.00324074,0.00640474,-0.0228116,5.42371e-09,462.294
225,0.00471403,0.000643203,-0.0185938,1.2305e-09,385.802
226,0.00482885,0.000663351,-0.0206396,1.86514e-09,377.576
227,0.00494801,0.000686532,-0.0227324,2.62733e-09,373.807
228,0.00449684,0.00189225,-0.0186249,1.74858e-09,422.441
229,0.00460356,0.00191508,-0.0206581,2.27223e-09,411.169
230,0.00471085,0.00194452,-0.0227292,2.88406e-09,405.26
231,0.00413524,0.00304053,-0.018692,2.94419e-09,450.586
232,0.00421231,0.00304984,-0.0206956,3.29021e-09,436.936
233,0.00429022,0.00306174,-0.022732,3.74541e-09,429.337
234,0.00391969,0.00432945,-0.018768,4.19668e-09,470.524
235,0.00403602,0.0044293,-0.0207464,4.83638e-09,455.923
236,0.00415439,0.00453162,-0.0227552,5.7272e-09,448.308
237,0.00438868,0.0063316,-0.0186524,5.64866e-09,484.672
238,0.00447737,0.00641078,-0.0206628,5.42056e-09,466.75
239,0.00457046,0.006495,-0.0227021,5.29485e-09,457.621
240,0.00577452,0.000859034,-0.0180489,6.0358e-09,387.19
241,0.00586866,0.000881038,-0.0202831,5.26059e-09,376.799
242,0.0059708,0.00089864,-0.0225504,4.66512e-09,371.921
243,0.00567297,0.00235291,-0.0180571,5.21248e-09,427.631
244,0.00577609,0.00239632,-0.0202931,4.53156e-09,415.632
245,0.0058801,0.00244164,-0.0225607,3.96172e-09,409.334
246,0.00560808,0.00368428,-0.0180448,5.63085e-09,455.226
247,0.00568097,0.00371264,-0.0202912,5.14162e-09,440.549
248,0.00575387,0.0037425,-0.022571,4.79346e-09,432.318
249,0.00555492,0.00502857,-0.0180343,6.08012e-09,474.64
250,0.00563001,0.00506469,-0.0202895,5.70558e-09,457.06
251,0.00570767,0.0051,-0.0225743,5.45212e-09,447.448
252,0.00569977,0.00652517,-0.0179915,5.75598e-09,486.573
253,0.00577386,0.00658701,-0.020254,5.15414e-09,466.184
254,0.00584791,0.00665224,-0.0225519,4.68075e-09,455.499
255,0.00267683,-0.00169573,-0.0130735,1.4612e-09,415.668
256,0.00366618,-0.00166858,-0.0131231,1.36342e-09,406.949
257,0.00243091,-0.00170871,-0.0117658,1.58965e-09,421.231
258,0.00359159,-0.00168607,-0.0119436,1.47663e-09,412.649
259,0.00275033,-0.000569166,-0.0130742,1.69954e-09,446.441
260,0.00388127,-0.000570058,-0.013123,1.59399e-09,431.668
261,0.00250735,-0.000563928,-0.0117687,1.83583e-09,456.628
262,0.00381248,-0.000568307,-0.011944,1.74257e-09,439.101
263,0.000612335,-0.00283509,-0.0132128,1.28771e-09,392.188
264,0.00060531,-0.00389831,-0.0132146,1.26939e-09,370.082
265,0.000584532,-0.00283657,-0.0121304,1.22967e-09,393.39
266,0.000574738,-0.00390374,-0.0121347,1.20506e-09,372.088
267,0.00167661,-0.00276851,-0.0131446,1.19154e-09,393.41
268,0.0016574,-0.00369929,-0.0131475,1.16744e-09,372.746
269,0.00150188,-0.00278863,-0.0119017,9.77142e-10,395.293
270,0.00148154,-0.00375853,-0.0119113,9.6517e-10,374.921
271,0.00247044,-0.00275394,-0.0118214,1.34324e-09,394.911
272,0.00266455,-0.00273183,-0.0130872,1.05275e-09,390.938
273,0.00337464,-0.0025511,-0.0119861,5.29654e-10,394.171
274,0.00341929,-0.00255953,-0.0131519,4.58599e-10,388.663
275,0.00250692,-0.0034298,-0.0130736,5.59471e-10,375.996
276,0.00230926,-0.00349634,-0.0118083,7.78279e-10,379.753
277,0.00364993,-0.00166828,-0.0108845,1.22102e-09,416.769
278,0.00374917,-0.00162925,-0.00979827,1.03403e-09,419.611
279,0.00386757,-0.00057186,-0.0108753,1.50562e-09,444.463
280,0.00396437,-0.000558861,-0.00980384,1.27349e-09,447.255
281,0.00257371,-0.00266887,-0.0107844,1.04008e-09,398.206
282,0.00282308,-0.00251545,-0.00978948,8.70758e-10,402.594
283,0.00340868,-0.00252103,-0.0108991,4.8183e-10,398.077
284,0.00347822,-0.00247662,-0.00981019,4.27563e-10,400.82
285,0.00242054,-0.0034245,-0.0107927,6.14402e-10,382.855
286,0.00269732,-0.00327627,-0.00979749,4.64939e-10,386.101
287,0.000607834,-0.0049305,-0.0132155,1.1867e-09,348.446
288,0.0006034,-0.0064543,-0.0132221,2.37933e-09,331.372
289,0.000574889,-0.00493861,-0.0121365,1.11916e-09,353.941
290,0.000583668,-0.00647514,-0.0121456,2.35031e-09,334.942
291,0.00168659,-0.00471876,-0.0131612,1.40037e-09,350.986
292,0.00166682,-0.00639028,-0.0131921,2.59294e-09,331.878
293,0.00151807,-0.00480089,-0.0119279,1.19591e-09,356.439
294,0.00155305,-0.00644979,-0.0119612,2.72576e-09,335.972
295,0.00271537,-0.00429532,-0.0131288,1.92522e-09,354.998
296,0.0027225,-0.00626004,-0.0131728,2.96914e-09,332.482
297,0.00258677,-0.00434689,-0.0118941,2.50618e-09,362.29
298,0.00259344,-0.00629148,-0.0119001,4.18968e-09,337.821
299,0.0026878,-0.00429127,-0.0108388,1.9588e-09,366.253
300,0.00268695,-0.00626558,-0.010816,3.19142e-09,341.063
301,0.00287502,-0.00421252,-0.00979945,1.48442e-09,368.274
302,0.00287423,-0.00623522,-0.00978911,2.39258e-09,343.093
303,0.00448878,-0.00187461,-0.0131566,9.56334e-10,389.812
304,0.00533561,-0.0019622,-0.0131268,1.45373e-09,380.492
305,0.00460892,-0.00186486,-0.0120354,1.25608e-09,397.294
306,0.00574553,-0.00195889,-0.012034,2.01466e-09,384.012
307,0.00471098,-0.000619627,-0.0131381,6.30745e-10,415.139
308,0.00539352,-0.000663743,-0.0131205,1.28972e-09,405.091
309,0.00482605,-0.000620154,-0.0120254,9.58008e-10,422.49
310,0.00580321,-0.000659689,-0.0120327,1.84886e-09,408.278
311,0.00426856,-0.00302018,-0.0120478,1.89423e-09,377.087
312,0.00568669,-0.0032549,-0.0120351,2.1692e-09,363.214
313,0.00414034,-0.0030324,-0.0131722,1.64005e-09,369.733
314,0.00527737,-0.0032576,-0.0131319,1.60926e-09,359.657
315,0.00472917,-0.00185889,-0.0109142,1.54787e-09,401.593
316,0.0060429,-0.00195825,-0.0109345,2.23391e-09,386.014
317,0.00484744,-0.00185354,-0.0097955,1.85176e-09,403.52
318,0.0062512,-0.00195874,-0.00982456,2.21183e-09,386.685
319,0.00494312,-0.00062022,-0.0109093,1.27558e-09,427.014
320,0.00610202,-0.000658925,-0.0109345,2.06371e-09,410.021
321,0.0050607,-0.000618832,-0.00979221,1.5934e-09,428.675
322,0.00631158,-0.000659512,-0.00982556,2.03319e-09,410.326
323,0.00439733,-0.00301104,-0.0109246,2.13636e-09,381.268
324,0.00598242,-0.00325435,-0.0109345,2.3917e-09,365.337
325,0.00452619,-0.0030029,-0.00980238,2.37671e-09,383.349
326,0.00619019,-0.0032564,-0.00982323,2.38416e-09,366.209
327,0.00401169,-0.0042529,-0.0120507,2.65614e-09,357.794
328,0.00401799,-0.00627292,-0.0120464,4.2714e-09,334.868
329,0.00563109,-0.00455281,-0.012036,2.35153e-09,346.321
330,0.005626,-0.00633706,-0.0120344,4.18007e-09,328.56
331,0.00389544,-0.00426295,-0.0131741,2.31623e-09,350.951
332,0.00387807,-0.00626536,-0.0131645,3.5831e-09,330.549
333,0.0052219,-0.00455511,-0.013136,1.7857e-09,343.001
334,0.00518731,-0.00635346,-0.0131429,3.3379e-09,326.054
335,0.00412799,-0.0042426,-0.010927,2.99616e-09,361.991
336,0.00412863,-0.00626285,-0.0109283,4.81373e-09,338.076
337,0.00592544,-0.00455233,-0.0109346,2.58008e-09,348.358
338,0.00591549,-0.00633903,-0.0109329,4.60262e-09,330.209
339,0.00424434,-0.00423214,-0.00980307,3.33624e-09,364.327
340,0.00421806,-0.00624449,-0.00980692,5.26185e-09,340.277
341,0.00613074,-0.00455507,-0.0098232,2.57202e-09,349.298
342,0.00609025,-0.00635376,-0.00981944,4.76836e-09,331.142
343,0.000614815,-0.00492767,-0.014375,1.41474e-09,331.778
344,0.000592664,-0.0049284,-0.0156009,1.33224e-09,320.013
345,0.000605,-0.00645362,-0.014375,2.8448e-09,324.357
346,0.000582828,-0.00645368,-0.0156005,2.67548e-09,316.321
347,0.00174929,-0.00468995,-0.014375,1.55921e-09,333.878
348,0.0017051,-0.00469617,-0.015528,1.32464e-09,322.588
349,0.00168678,-0.00638948,-0.014375,2.95215e-09,324.584
350,0.00164276,-0.00639104,-0.0155301,2.51792e-09,316.997
351,0.00274822,-0.00430045,-0.0142803,1.50284e-09,338.105
352,0.00277014,-0.00428683,-0.015248,1.29643e-09,328.572
353,0.00270456,-0.00628557,-0.0142828,2.64791e-09,325.391
354,0.00272783,-0.00628109,-0.0152535,2.27306e-09,319.126
355,0.00445646,-0.00189371,-0.0141597,5.68926e-10,370.976
356,0.00466619,-0.000620771,-0.0141699,3.42968e-10,394.316
357,0.00410118,-0.00306927,-0.0141966,1.18371e-09,353.744
358,0.00385851,-0.00427579,-0.0142248,1.80918e-09,341.034
359,0.00381535,-0.00625072,-0.0142257,2.67826e-09,325.063
360,0.00459269,-0.000619783,-0.0146586,1.07529e-10,389.477
361,0.0043388,-0.00183725,-0.0146452,1.99771e-10,366.346
362,0.00388834,-0.0029831,-0.0148291,4.8476e-10,347.116
363,0.00364422,-0.00418455,-0.0149627,8.6013e-10,334.875
364,0.00361617,-0.00622171,-0.0149612,1.24846e-09,320.929
365,0.0050144,-0.000668859,-0.0140953,4.02985e-10,394.023
366,0.004942,-0.00196615,-0.0140953,4.76216e-10,370.885
367,0.0048691,-0.00326186,-0.0140955,5.47391e-10,352.366
368,0.00479732,-0.00455944,-0.0140951,6.23404e-10,337.956
369,0.00472471,-0.00636919,-0.0140952,1.23255e-09,322.976
370,0.000581315,-0.00492769,-0.016868,1.39261e-09,309.802
371,0.000552954,-0.00494591,-0.018158,1.29761e-09,299.938
372,0.000599769,-0.00642446,-0.0168005,2.60086e-09,308.026
373,0.000642909,-0.00644812,-0.0179467,2.80594e-09,298.787
374,0.00170537,-0.00469017,-0.0166997,1.69787e-09,312.891
375,0.00166114,-0.00471136,-0.0179896,1.63618e-09,303.037
376,0.00171754,-0.00635507,-0.0166264,2.98755e-09,309.431
377,0.00182586,-0.00636475,-0.0177657,3.1141e-09,300.335
378,0.0027704,-0.00428435,-0.0163444,1.93451e-09,319.082
379,0.0027629,-0.0042895,-0.0176413,1.92641e-09,309.22
380,0.00283777,-0.00624625,-0.0162631,3.25069e-09,312.192
381,0.00299127,-0.00624481,-0.0173925,3.36359e-09,303.202
382,0.00465318,-0.000620508,-0.015471,5.60756e-10,379.465
383,0.00464913,-0.000631961,-0.0168015,5.83291e-10,367.838
384,0.00443083,-0.0018821,-0.0154717,9.501e-10,356.53
385,0.00442328,-0.00188412,-0.0168397,1.02463e-09,345.118
386,0.00408079,-0.00304028,-0.0156448,1.76029e-09,339.321
387,0.00407824,-0.00302246,-0.0169895,1.86421e-09,329.004
388,0.00384594,-0.0042686,-0.0157996,2.49762e-09,327.12
389,0.00384596,-0.00426864,-0.0171075,2.49744e-09,316.989
390,0.00393336,-0.00623998,-0.015695,3.56341e-09,315.619
391,0.00410694,-0.00623339,-0.0168289,3.35219e-09,306.653
392,0.0053077,-0.000716077,-0.01496,2.0007e-09,382.827
393,0.00561174,-0.000803565,-0.0162942,3.47528e-09,368.657
394,0.00524221,-0.00206454,-0.0149641,2.09046e-09,360.334
395,0.00551552,-0.00225196,-0.0163099,3.09608e-09,346.67
396,0.00518703,-0.00337078,-0.0149575,2.2645e-09,343.285
397,0.00546077,-0.0035795,-0.0162919,3.28097e-09,331.015
398,0.0051331,-0.00467859,-0.0149492,2.45752e-09,329.993
399,0.00540639,-0.00490746,-0.0162732,3.47249e-09,318.241
400,0.00511501,-0.00636747,-0.0148381,3.77336e-09,317.775
401,0.0054243,-0.00642782,-0.0160323,3.79453e-09,307.971
402,0.00618302,-0.00214223,-0.013838,2.79555e-09,364.483
403,0.00688644,-0.00250931,-0.0151201,3.66089e-09,346.33
404,0.00695545,-0.0020517,-0.012567,2.42656e-09,367.556
405,0.00796101,-0.00242888,-0.0135709,3.45992e-09,348.312
406,0.00618872,-0.000750669,-0.0138448,3.05124e-09,387.433
407,0.00689622,-0.000911878,-0.0151369,5.03584e-09,367.888
408,0.00695537,-0.000698162,-0.0125831,2.57657e-09,389.784
409,0.00797618,-0.000874542,-0.0136065,4.56445e-09,368.466
410,0.00695261,-0.0033571,-0.0125642,2.39313e-09,349.423
411,0.00794224,-0.00378218,-0.0135613,3.38435e-09,332.923
412,0.00617896,-0.00345808,-0.0138291,2.72712e-09,346.5
413,0.00687577,-0.003868,-0.0150955,3.55916e-09,330.697
414,0.00746025,-0.00195452,-0.0112512,2.36261e-09,370.157
415,0.00868122,-0.00234611,-0.0118887,3.4942e-09,349.584
416,0.00771099,-0.00195,-0.0099222,2.37696e-09,370.893
417,0.0090536,-0.00233982,-0.0101195,3.18016e-09,350.184
418,0.00746103,-0.000650001,-0.0112535,2.37903e-09,391.458
