x_m,y_m,z_m,volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_Pa
2.975,0.0,-1.966665,0.00033335,1.03759885774,0.0,0.000799123935644,299.999962422,99999.9770896
3.025,0.0,-1.966665,0.00033335,1.03622475104,0.0,0.000773871013684,299.999963858,99999.9785569
3.075,0.0,-1.966665,0.00033335,1.034889929,0.0,0.000750306335082,299.999965252,99999.9799682
3.125,0.0,-1.966665,0.00033335,1.03359190995,0.0,0.000728403829293,299.999966607,99999.9813266
3.175,0.0,-1.966665,0.00033335,1.03232824637,0.0,0.000708136543693,299.999967925,99999.9826354
3.225,0.0,-1.966665,0.00033335,1.03109652633,0.0,0.000689477115496,299.99996921,99999.9838975
3.275,0.0,-1.966665,0.00033335,1.02989437422,0.0,0.000672398166076,299.999970463,99999.985116
3.325,0.0,-1.966665,0.00033335,1.0287194509,0.0,0.000656872695497,299.999971688,99999.986294
3.375,0.0,-1.966665,0.00033335,1.02756945328,0.0,0.00064287436155,299.999972886,99999.9874343
3.425,0.0,-1.966665,0.00033335,1.02644211352,0.0,0.000630377736507,299.999974061,99999.9885399
3.475,0.0,-1.966665,0.00033335,1.02533519709,0.0,0.000619358442848,299.999975213,99999.9896134
3.525,0.0,-1.966665,0.00033335,1.02424650375,0.0,0.000609793270684,299.999976347,99999.9906578
3.575,0.0,-1.966665,0.00033335,1.02317385437,0.0,0.000601660148505,299.999977464,99999.9916756
3.625,0.0,-1.966665,0.00033335,1.02211513494,0.0,0.000594937963356,299.999978565,99999.9926697
3.675,0.0,-1.966665,0.00033335,1.02106810327,0.0,0.000589606215125,299.999979655,99999.9936426
3.725,0.0,-1.966665,0.00033335,1.02003117343,0.0,0.000585644115255,299.999980733,99999.9945971
3.775,0.0,-1.966665,0.00033335,1.01900016576,0.0,0.000583030079273,299.999981805,99999.9955344
3.825,0.0,-1.966665,0.00033335,1.01798169625,0.0,0.000581737424792,299.999982863,99999.9964635
3.875,0.0,-1.966665,0.00033335,1.01693792619,0.0,0.000581736137794,299.999983947,99999.9973599
3.925,0.0,-1.966665,0.00033335,1.01601445037,0.0,0.000582985336727,299.999984908,99999.9983374
3.975,0.0,-1.966665,0.00033335,1.0146000327,0.0,0.000585355945611,299.999986364,99999.9989398
-1.975,2.58953974028e-18,-1.9,0.0003333,1.0000975138,0.0,-0.000540949849264,299.999999903,100000.027533
-1.925,0.0,-1.9,0.0003333,1.00046601248,0.0,-0.00108265215141,299.999999536,100000.027307
-1.875,0.0,-1.9,0.0003333,1.00114700064,0.0,-0.00162547691063,299.999998859,100000.026679
-1.825,0.0,-1.9,0.0003333,1.00209933561,0.0,-0.00216984806453,299.99999791,100000.025728
-1.775,-2.6377265035e-18,-1.9,0.0003333,1.00332016624,0.0,-0.00271605437083,299.999996693,100000.024469
-1.725,2.6377265035e-18,-1.9,0.0003333,1.00481500738,0.0,-0.00326424324878,299.999995201,100000.022891
-1.675,0.0,-1.9,0.0003333,1.00658541737,0.0,-0.00381438486911,299.999993431,100000.020991
-1.625,0.0,-1.9,0.0003333,1.00863211581,0.0,-0.00436622951264,299.99999138,100000.018765
-1.575,0.0,-1.9,0.0003333,1.01095609668,0.0,-0.00491926922256,299.999989047,100000.016212
-1.525,-2.6377265035e-18,-1.9,0.0003333,1.0135581428,0.0,-0.00547270121799,299.999986429,100000.013328
-1.475,2.6377265035e-18,-1.9,0.0003333,1.01643854349,0.0,-0.00602539155956,299.999983522,100000.010109
-1.425,0.0,-1.9,0.0003333,1.01959695442,0.0,-0.00657584044174,299.999980326,100000.006553
-1.375,0.0,-1.9,0.0003333,1.02303221493,0.0,-0.00712215022841,299.999976838,100000.002658
-1.325,0.0,-1.9,0.0003333,1.02674213269,0.0,-0.0076619975749,299.999973058,99999.9984233
-1.275,-2.6377265035e-18,-1.9,0.0003333,1.03072325684,0.0,-0.00819261098538,299.999968987,99999.9938482
-1.225,2.6377265035e-18,-1.9,0.0003333,1.03497064164,0.0,-0.00871075553641,299.999964626,99999.9889342
-1.175,-2.6377265035e-18,-1.9,0.0003333,1.0394776024,0.0,-0.00921272677066,299.999959979,99999.9836845
-1.125,0.0,-1.9,0.0003333,1.04423546905,0.0,-0.00969435580096,299.999955052,99999.9781044
-1.075,0.0,-1.9,0.0003333,1.04923334342,0.0,-0.0101510280211,299.999949852,99999.9722017
-1.025,-2.6377265035e-18,-1.9,0.0003333,1.05445786799,0.0,-0.0105777174754,299.99994439,99999.965987
-0.975,0.0,-1.9,0.0003333,1.0598930144,0.0,-0.0109690391343,299.99993868,99999.9594744
-0.925,9.43491185463e-19,-1.9,0.0003333,1.06551990183,0.0,-0.0113193209485,299.999932738,99999.9526813
-0.875,0.0,-1.9,0.0003333,1.07131665587,0.0,-0.0116226968225,299.999926584,99999.9456292
-0.825,9.43491185463e-19,-1.9,0.0003333,1.07725831943,0.0,-0.011873221331,299.999920242,99999.9383438
-0.775,0.0,-1.9,0.0003333,1.08331682771,0.0,-0.0120650057203,299.999913741,99999.9308553
-0.725,0.0,-1.9,0.0003333,1.08946105842,0.0,-0.0121923736239,299.999907111,99999.9231982
-0.675,9.43491185463e-19,-1.9,0.0003333,1.09565696803,0.0,-0.0122500334268,299.999900387,99999.9154119
-0.625,0.0,-1.9,0.0003333,1.10186782281,0.0,-0.0122332627804,299.999893611,99999.9075399
-0.575,9.63735264432e-20,-1.9,0.0003333,1.10805453037,0.0,-0.0121380988087,299.999886823,99999.8996301
-0.525,0.0,-1.9,0.0003333,1.11417607424,0.0,-0.0119615263116,299.999880071,99999.8917344
-0.475,4.52470887443e-18,-1.9,0.0003333,1.12019004893,0.0,-0.0117016544849,299.999873402,99999.8839077
-0.425,9.43491185463e-19,-1.9,0.0003333,1.12605328796,0.0,-0.0113578721188,299.999866867,99999.8762073
-0.375,0.0,-1.9,0.0003333,1.131722571,0.0,-0.0109309708162,299.999860516,99999.8686925
-0.325,9.43491185463e-19,-1.9,0.0003333,1.13715539102,0.0,-0.010423226048,299.999854401,99999.8614227
-0.275,-3.58121768897e-18,-1.9,0.0003333,1.1423107563,0.0,-0.00983842773056,299.999848573,99999.8544572
-0.225,3.58121768897e-18,-1.9,0.0003333,1.14714999795,0.0,-0.00918185406256,299.999843078,99999.8478533
-0.175,0.0,-1.9,0.0003333,1.15163755069,0.0,-0.00846018565928,299.999837962,99999.8416651
-0.125,0.0,-1.9,0.0003333,1.1557416737,0.0,-0.0076813609394,299.999833267,99999.835943
-0.075,0.0,-1.9,0.0003333,1.15943507992,0.0,-0.00685437785096,299.999829027,99999.8307315
-0.025,0.0,-1.9,0.0003333,1.16269544589,0.0,-0.00598905073436,299.999825274,99999.8260692
0.025,0.0,-1.9,0.0003333,1.16550578057,0.0,-0.00509573486278,299.999822031,99999.8219873
0.075,0.0,-1.9,0.0003333,1.1678546382,0.0,-0.00418503297619,299.999819314,99999.8185095
0.125,0.0,-1.9,0.0003333,1.16973617286,0.0,-0.00326750074759,299.999817134,99999.8156513
0.175,0.0,-1.9,0.0003333,1.17115002731,0.0,-0.00235336271152,299.999815494,99999.8134201
0.225,-3.58121768897e-18,-1.9,0.0003333,1.17210110673,0.0,-0.00145226899327,299.99981439,99999.8118154
0.275,4.52470887443e-18,-1.9,0.0003333,1.17259911531,0.0,-0.000573040018003,299.999813812,99999.810829
0.325,-3.58121768897e-18,-1.9,0.0003333,1.1726582058,0.0,0.000276354342516,299.999813745,99999.8104457
0.375,0.0,-1.9,0.0003333,1.17229656594,0.0,0.00108887815779,299.999814166,99999.8106454
0.425,9.43491185463e-19,-1.9,0.0003333,1.17153522026,0.0,0.00185855897039,299.999815052,99999.8114018
0.475,-3.58121768897e-18,-1.9,0.0003333,1.17039826115,0.0,0.00258069550082,299.999816374,99999.8126829
0.525,0.0,-1.9,0.0003333,1.16891172778,0.0,0.00325177259864,299.9998181,99999.8144532
0.575,9.43491185463e-19,-1.9,0.0003333,1.16710303522,0.0,0.00386937283093,299.999820198,99999.8166747
0.625,0.0,-1.9,0.0003333,1.1650004623,0.0,0.00443209714812,299.999822632,99999.8193077
0.675,9.43491185463e-19,-1.9,0.0003333,1.1626326398,0.0,0.00493946321268,299.999825368,99999.8223114
0.725,0.0,-1.9,0.0003333,1.1600281003,0.0,0.00539179021593,299.999828371,99999.825645
0.775,0.0,-1.9,0.0003333,1.15721489941,0.0,0.00579008077835,299.999831608,99999.8292683
0.825,9.43491185463e-19,-1.9,0.0003333,1.15422030189,0.0,0.00613590473468,299.999835045,99999.8331418
0.875,0.0,-1.9,0.0003333,1.15107052905,0.0,0.00643128857333,299.999838652,99999.8372278
0.925,9.43491185463e-19,-1.9,0.0003333,1.14779056369,0.0,0.0066786133524,299.999842397,99999.8414902
0.975,0.0,-1.9,0.0003333,1.14440400656,0.0,0.00688052269766,299.999846253,99999.845895
1.025,2.6377265035e-18,-1.9,0.0003333,1.14093297809,0.0,0.00703984197925,299.999850194,99999.8504105
1.075,-2.6377265035e-18,-1.9,0.0003333,1.13739805864,0.0,0.00715950848296,299.999854195,99999.8550073
1.125,0.0,-1.9,0.0003333,1.13381826137,0.0,0.00724251241811,299.999858236,99999.8596582
1.175,0.0,-1.9,0.0003333,1.13021103188,0.0,0.00729184784964,299.999862295,99999.8643386
1.225,-2.6377265035e-18,-1.9,0.0003333,1.12659226938,0.0,0.00731047270031,299.999866354,99999.8690262
1.275,2.6377265035e-18,-1.9,0.0003333,1.12297636486,0.0,0.00730127673778,299.999870398,99999.8737008
1.325,0.0,-1.9,0.0003333,1.11937625241,0.0,0.00726705649543,299.999874411,99999.8783446
1.375,0.0,-1.9,0.0003333,1.11580347021,0.0,0.00721049624579,299.999878382,99999.8829417
1.425,0.0,-1.9,0.0003333,1.11226822857,0.0,0.00713415393506,299.999882299,99999.8874783
1.475,-2.6377265035e-18,-1.9,0.0003333,1.10877948285,0.0,0.00704045139007,299.999886153,99999.8919424
1.525,2.6377265035e-18,-1.9,0.0003333,1.10534500901,0.0,0.00693166794605,299.999889936,99999.8963236
1.575,0.0,-1.9,0.0003333,1.10197148087,0.0,0.00680993704475,299.999893641,99999.9006132
1.625,0.0,-1.9,0.0003333,1.09866454737,0.0,0.00667724512769,299.999897263,99999.904804
1.675,0.0,-1.9,0.0003333,1.09542890915,0.0,0.00653543243929,299.999900796,99999.9088901
1.725,-2.6377265035e-18,-1.9,0.0003333,1.09226839356,0.0,0.0063861954671,299.999904238,99999.9128667
1.775,2.6377265035e-18,-1.9,0.0003333,1.08918602757,0.0,0.00623109051215,299.999907586,99999.9167303
1.825,0.0,-1.9,0.0003333,1.08618410816,0.0,0.00607153834507,299.999910838,99999.9204782
1.875,0.0,-1.9,0.0003333,1.08326426957,0.0,0.0059088295106,299.999913994,99999.9241088
1.925,0.0,-1.9,0.0003333,1.08042754766,0.0,0.00574413033974,299.999917052,99999.9276211
1.975,-2.6377265035e-18,-1.9,0.0003333,1.0776744406,0.0,0.0055784892614,299.999920013,99999.931015
2.025,0.0,-1.9,0.0003333,1.07500496628,0.0,0.00541284350409,299.999922878,99999.9342908
2.075,0.0,-1.9,0.0003333,1.07241871597,0.0,0.00524802589355,299.999925648,99999.9374496
2.125,0.0,-1.9,0.0003333,1.06991490443,0.0,0.00508477180316,299.999928323,99999.9404927
2.175,0.0,-1.9,0.0003333,1.06749241652,0.0,0.00492372604233,299.999930907,99999.9434221
2.225,0.0,-1.9,0.0003333,1.0651498502,0.0,0.00476544969094,299.999933401,99999.9462399
2.275,0.0,-1.9,0.0003333,1.062885556,0.0,0.00461042680866,299.999935807,99999.9489486
2.325,0.0,-1.9,0.0003333,1.06069767335,0.0,0.0044590709338,299.999938128,99999.951551
2.375,0.0,-1.9,0.0003333,1.05858416353,0.0,0.00431173136973,299.999940367,99999.95405
2.425,0.0,-1.9,0.0003333,1.05654283944,0.0,0.00416869923898,299.999942526,99999.9564487
2.475,0.0,-1.9,0.0003333,1.05457139266,0.0,0.0040302131756,299.999944608,99999.9587505
2.525,0.0,-1.9,0.0003333,1.05266741759,0.0,0.0038964648306,299.999946616,99999.9609586
2.575,0.0,-1.9,0.0003333,1.05082843278,0.0,0.00376760394744,299.999948553,99999.9630764
2.625,0.0,-1.9,0.0003333,1.04905190028,0.0,0.00364374316862,299.999950423,99999.9651074
2.675,0.0,-1.9,0.0003333,1.04733524211,0.0,0.00352496253484,299.999952227,99999.9670552
2.725,0.0,-1.9,0.0003333,1.04567585506,0.0,0.00341131359923,299.99995397,99999.9689231
2.775,9.43491185463e-19,-1.9,0.0003333,1.04407112328,0.0,0.00330282329654,299.999955653,99999.9707148
2.825,0.0,-1.9,0.0003333,1.04251842915,0.0,0.00319949747082,299.999957281,99999.9724336
2.875,0.0,-1.9,0.0003333,1.04101516249,0.0,0.0031013240229,299.999958856,99999.9740831
2.925,0.0,-1.9,0.0003333,1.0395587282,0.0,0.00300827598223,299.99996038,99999.9756666
2.975,0.0,-1.9,0.0003333,1.03814655262,0.0,0.00292031406262,299.999961857,99999.9771876
3.025,9.43491185463e-19,-1.9,0.0003333,1.03677608858,0.0,0.0028373891098,299.99996329,99999.9786493
3.075,0.0,-1.9,0.0003333,1.03544481937,0.0,0.00275944429375,299.999964682,99999.9800551
3.125,0.0,-1.9,0.0003333,1.03415026171,0.0,0.00268641701061,299.999966034,99999.9814081
3.175,0.0,-1.9,0.0003333,1.0328899679,0.0,0.0026182406332,299.99996735,99999.9827115
3.225,0.0,-1.9,0.0003333,1.03166152695,0.0,0.0025548460136,299.999968632,99999.9839683
3.275,9.43491185463e-19,-1.9,0.0003333,1.0304625654,0.0,0.00249616295261,299.999969883,99999.9851817
3.325,0.0,-1.9,0.0003333,1.02929074716,0.0,0.00244212131386,299.999971106,99999.9863546
3.375,0.0,-1.9,0.0003333,1.02814377301,0.0,0.0023926521863,299.999972302,99999.98749
3.425,0.0,-1.9,0.0003333,1.02701937963,0.0,0.00234768879808,299.999973474,99999.9885906
3.475,0.0,-1.9,0.0003333,1.02591533746,0.0,0.0023071674497,299.999974625,99999.9896594
3.525,9.43491185463e-19,-1.9,0.0003333,1.02482945153,0.0,0.002271028346,299.999975757,99999.990699
3.575,0.0,-1.9,0.0003333,1.02375954794,0.0,0.00223921647469,299.999976871,99999.9917122
3.625,0.0,-1.9,0.0003333,1.02270351746,0.0,0.00221168264869,299.999977971,99999.9927017
3.675,0.0,-1.9,0.0003333,1.02165912147,0.0,0.00218838496599,299.999979059,99999.99367
3.725,0.0,-1.9,0.0003333,1.0206247758,0.0,0.00216929060734,299.999980135,99999.9946201
3.775,9.43491185463e-19,-1.9,0.0003333,1.01959629826,0.0,0.00215437945773,299.999981205,99999.995553
3.825,0.0,-1.9,0.0003333,1.01858029343,0.0,0.00214365060374,299.999982262,99999.9964778
3.875,0.0,-1.9,0.0003333,1.01753893029,0.0,0.00213711264412,299.999983344,99999.99737
3.925,0.0,-1.9,0.0003333,1.01661759508,0.0,0.00213493489511,299.999984304,99999.9983435
3.975,0.0,-1.9,0.0003333,1.01520599926,0.0,0.00213665950318,299.999985758,99999.9989422
-1.975,0.0,-1.833335,0.00033335,1.00009729863,0.0,-0.000901216092789,299.999999903,100000.028647
-1.925,0.0,-1.833335,0.00033335,1.00046503325,0.0,-0.00180376832697,299.999999536,100000.028422
-1.875,0.0,-1.833335,0.00033335,1.00114470385,0.0,-0.00270840126988,299.999998859,100000.027795
-1.825,0.0,-1.833335,0.00033335,1.00209539614,0.0,-0.00361591917569,299.99999791,100000.026846
-1.775,-8.46990597724e-19,-1.833335,0.00033335,1.00331449712,0.0,-0.00452690125416,299.999996692,100000.025589
-1.725,0.0,-1.833335,0.00033335,1.00480780225,0.0,-0.0054416952047,299.999995199,100000.024013
-1.675,0.0,-1.833335,0.00033335,1.00657722367,0.0,-0.00636035114158,299.999993426,100000.022114
-1.625,0.0,-1.833335,0.00033335,1.00862390794,0.0,-0.00728254997472,299.999991372,100000.019889
-1.575,0.0,-1.833335,0.00033335,1.01094934368,0.0,-0.00820753912868,299.999989033,100000.017335
-1.525,-8.46990597724e-19,-1.833335,0.00033335,1.01355487442,0.0,-0.00913406987269,299.999986405,100000.014448
-1.475,0.0,-1.833335,0.00033335,1.01644141454,0.0,-0.0100603348619,299.999983487,100000.011224
-1.425,0.0,-1.833335,0.00033335,1.01960930513,0.0,-0.0109839076778,299.999980275,100000.007659
-1.375,0.0,-1.833335,0.00033335,1.02305812538,0.0,-0.0119016867497,299.999976766,100000.003751
-1.325,0.0,-1.833335,0.00033335,1.02678646855,0.0,-0.012809845349,299.99997296,99999.9994974
-1.275,-8.46990597724e-19,-1.833335,0.00033335,1.03079170385,0.0,-0.0137037901561,299.999968857,99999.9948976
-1.225,0.0,-1.833335,0.00033335,1.03506972551,0.0,-0.014578131443,299.999964456,99999.9899517
-1.175,-8.46990597724e-19,-1.833335,0.00033335,1.03961469013,0.0,-0.0154266681903,299.999959761,99999.9846619
