x_m,y_m,z_m,cell_volume_m3,U_x_m_per_s,U_y_m_per_s,U_z_m_per_s,T_K,p_m2_per_s2,p_rgh_m2_per_s2,k_m2_per_s2,epsilon_m2_per_s3,nut_m2_per_s,alphat_m2_per_s
4.25,1.25,0.25,0.125,-0.00242096,-0.00160216,-0.00176913,300.658,-9.79168,2.44663,7.66941e-06,3.49618e-08,0.000151416,0.000188343
4.75,1.25,0.25,0.125,-0.000829713,-0.00167098,-0.00313055,300.659,-9.79167,2.4466,8.41784e-06,3.94053e-08,0.000161841,0.00018902
5.25,1.25,0.25,0.125,0.0011287,-0.00160666,-0.00316332,300.658,-9.79168,2.4466,8.35705e-06,3.94691e-08,0.000159254,0.000197858
5.75,1.25,0.25,0.125,0.00245999,-0.00172205,-0.00177513,300.657,-9.79169,2.44663,7.70471e-06,3.46094e-08,0.000154369,0.000187992
6.25,1.25,0.25,0.125,0.000562872,-0.00019459,0.000646662,300.657,-9.7917,2.44663,9.49422e-06,4.69054e-08,0.000172957,0.000204861
6.75,1.25,0.25,0.125,-0.00616343,0.0032984,0.0021119,300.657,-9.79173,2.4466,1.57998e-05,1.00535e-07,0.000223474,0.000262232
7.25,1.25,0.25,0.125,-0.0108241,0.00559527,0.00222388,300.658,-9.79175,2.44652,2.09123e-05,1.53228e-07,0.000256866,0.000301935
7.75,1.25,0.25,0.125,-0.0143427,0.00714793,0.00254967,300.664,-9.79172,2.44637,2.72797e-05,2.28381e-07,0.000293266,0.000344979
8.25,1.25,0.25,0.125,-0.0139758,0.00472348,0.00226573,300.673,-9.79164,2.44609,3.42421e-05,3.21172e-07,0.000328569,0.000386526
8.75,1.25,0.25,0.125,-0.00725307,-0.0139454,0.00246872,300.682,-9.79154,2.44588,4.40436e-05,4.68514e-07,0.000372637,0.000438382
9.25,1.25,0.25,0.125,-0.00507341,-0.0341081,0.0027304,300.677,-9.79141,2.44617,5.31903e-05,6.21802e-07,0.000409502,0.000481747
9.75,1.25,0.25,0.125,-0.00214887,-0.0518956,0.00221859,300.671,-9.79128,2.44654,5.79179e-05,7.06523e-07,0.000427309,0.000502695
0.25,1.75,0.25,0.125,0.00106029,-0.0561605,0.0010643,300.671,-14.6865,2.44642,5.94808e-05,7.35312e-07,0.000433036,0.000509439
0.75,1.75,0.25,0.125,0.00189432,-0.0389307,0.00242182,300.678,-14.6866,2.44594,5.61467e-05,6.74361e-07,0.000420726,0.000494959
1.25,1.75,0.25,0.125,0.00130331,-0.021104,0.00308161,300.684,-14.6867,2.44554,4.84869e-05,5.4117e-07,0.000390983,0.000459956
1.75,1.75,0.25,0.125,0.00577444,-0.00614483,0.0041767,300.686,-14.6868,2.44534,3.86029e-05,3.84429e-07,0.000348871,0.000410377
2.25,1.75,0.25,0.125,0.0102526,0.00159741,0.00428676,300.68,-14.6869,2.44556,3.06092e-05,2.71416e-07,0.000310679,0.000365449
2.75,1.75,0.25,0.125,0.0110174,0.00420962,0.00384082,300.673,-14.687,2.44586,2.40492e-05,1.89031e-07,0.000275365,0.000324001
3.25,1.75,0.25,0.125,0.00891748,0.00408341,0.00338964,300.669,-14.687,2.44607,1.89715e-05,1.32454e-07,0.000244557,0.000287869
3.75,1.75,0.25,0.125,0.0056178,0.00319534,0.00259049,300.668,-14.6869,2.44617,1.42992e-05,8.65556e-08,0.000212604,0.000249343
4.25,1.75,0.25,0.125,0.00182851,0.00249354,0.00134913,300.668,-14.6869,2.44619,1.01553e-05,5.23225e-08,0.000177395,0.000214053
4.75,1.75,0.25,0.125,-0.000432509,0.0019084,-0.00140879,300.668,-14.6869,2.4462,9.19848e-06,4.50837e-08,0.00016891,0.00020354
5.25,1.75,0.25,0.125,0.000677113,0.00195902,-0.00134273,300.668,-14.6869,2.44619,9.14549e-06,4.42228e-08,0.00017022,0.000200591
5.75,1.75,0.25,0.125,-0.00192954,0.00256814,0.00140691,300.668,-14.6869,2.44619,1.0311e-05,5.28527e-08,0.00018104,0.000212238
6.25,1.75,0.25,0.125,-0.00575075,0.00326138,0.00266112,300.668,-14.6869,2.44617,1.43924e-05,8.74206e-08,0.000213253,0.000250608
6.75,1.75,0.25,0.125,-0.00900777,0.00409423,0.00344528,300.669,-14.687,2.44607,1.90399e-05,1.33126e-07,0.000245081,0.000288123
7.25,1.75,0.25,0.125,-0.0110074,0.00416926,0.00387656,300.673,-14.687,2.44586,2.40993e-05,1.8962e-07,0.000275656,0.000324201
7.75,1.75,0.25,0.125,-0.0100752,0.00154138,0.0043152,300.68,-14.6869,2.44556,3.07053e-05,2.72726e-07,0.00031113,0.00036599
8.25,1.75,0.25,0.125,-0.00549864,-0.00616832,0.00419679,300.686,-14.6868,2.44534,3.8717e-05,3.86168e-07,0.000349357,0.000410993
8.75,1.75,0.25,0.125,-0.00104886,-0.0213101,0.00309166,300.684,-14.6867,2.44554,4.87464e-05,5.45535e-07,0.000392017,0.000461182
9.25,1.75,0.25,0.125,-0.0017888,-0.0390928,0.00243293,300.678,-14.6866,2.44595,5.64317e-05,6.79511e-07,0.000421786,0.000496201
9.75,1.75,0.25,0.125,-0.000997014,-0.056444,0.00110899,300.671,-14.6865,2.44644,5.97951e-05,7.4116e-07,0.000434171,0.000510772
0.25,2.25,0.25,0.125,0.000261074,-0.0576607,0.000266065,300.671,-19.5816,2.4465,6.0976e-05,7.63222e-07,0.000438439,0.000515798
0.75,2.25,0.25,0.125,-0.000480027,-0.0416785,0.00214638,300.679,-19.5817,2.44587,5.93969e-05,7.33769e-07,0.000432724,0.000509077
1.25,2.25,0.25,0.125,-0.00338315,-0.027141,0.00296855,300.685,-19.5817,2.44538,5.45407e-05,6.4564e-07,0.000414661,0.00048782
1.75,2.25,0.25,0.125,-0.00231405,-0.0155304,0.0042372,300.689,-19.5818,2.44505,4.78526e-05,5.30579e-07,0.000388422,0.000456925
2.25,2.25,0.25,0.125,-0.00157434,-0.00865768,0.00527511,300.69,-19.5819,2.44487,4.12472e-05,4.24564e-07,0.000360652,0.000424235
2.75,2.25,0.25,0.125,-0.000643496,-0.00367165,0.00553619,300.69,-19.582,2.44483,3.45989e-05,3.26109e-07,0.000330372,0.000388706
3.25,2.25,0.25,0.125,0.000199364,-0.000755926,0.00503041,300.687,-19.582,2.44502,2.81453e-05,2.39232e-07,0.000298014,0.000350772
3.75,2.25,0.25,0.125,1.4658e-05,0.00096509,0.00456514,300.684,-19.582,2.4452,2.25456e-05,1.71651e-07,0.000266515,0.000314322
4.25,2.25,0.25,0.125,-0.000539361,0.00196691,0.00405073,300.682,-19.582,2.44533,1.83515e-05,1.26684e-07,0.000239258,0.000286172
4.75,2.25,0.25,0.125,-0.000548318,0.00230592,0.00329263,300.681,-19.582,2.44539,1.65486e-05,1.09121e-07,0.00022587,0.000274359
5.25,2.25,0.25,0.125,0.000647293,0.00220344,0.00325258,300.681,-19.582,2.44539,1.67957e-05,1.09821e-07,0.000231181,0.000271219
5.75,2.25,0.25,0.125,0.000549137,0.00178386,0.00407837,300.682,-19.582,2.44532,1.88884e-05,1.31046e-07,0.000245024,0.000287508
6.25,2.25,0.25,0.125,0.000137223,0.000766328,0.00459742,300.684,-19.582,2.44518,2.30751e-05,1.77366e-07,0.000270184,0.000317532
6.75,2.25,0.25,0.125,2.20132e-05,-0.00101127,0.0050623,300.687,-19.582,2.44501,2.86851e-05,2.46055e-07,0.000300969,0.00035384
7.25,2.25,0.25,0.125,0.000922855,-0.00397346,0.00556107,300.69,-19.582,2.44482,3.51193e-05,3.33474e-07,0.000332868,0.000391462
7.75,2.25,0.25,0.125,0.00174398,-0.0088479,0.00530042,300.69,-19.5819,2.44488,4.15909e-05,4.29911e-07,0.000362128,0.000425985
8.25,2.25,0.25,0.125,0.00253832,-0.0156713,0.00425102,300.689,-19.5818,2.44507,4.81596e-05,5.35715e-07,0.000389651,0.000458393
8.75,2.25,0.25,0.125,0.00357039,-0.0272797,0.00297857,300.685,-19.5817,2.44539,5.484e-05,6.50973e-07,0.00041579,0.000489149
9.25,2.25,0.25,0.125,0.000608961,-0.0417898,0.00216054,300.679,-19.5817,2.44588,5.96964e-05,7.39336e-07,0.000433808,0.000510346
9.75,2.25,0.25,0.125,-0.000189117,-0.0578869,0.000326555,300.67,-19.5816,2.44651,6.12823e-05,7.68992e-07,0.000439532,0.00051708
0.25,2.75,0.25,0.125,-0.000474121,-0.0563278,-0.000468719,300.671,-24.4765,2.44671,6.2402e-05,7.90161e-07,0.00044353,0.000521789
0.75,2.75,0.25,0.125,-0.00229055,-0.0425911,0.00151765,300.679,-24.4766,2.44594,6.30039e-05,8.01624e-07,0.000445663,0.0005243
1.25,2.75,0.25,0.125,-0.00673669,-0.0309134,0.00193376,300.685,-24.4767,2.44536,6.12695e-05,7.68749e-07,0.000439487,0.000517031
1.75,2.75,0.25,0.125,-0.0074735,-0.02226,0.0023499,300.689,-24.4768,2.44494,5.82623e-05,7.12838e-07,0.000428575,0.000504176
2.25,2.75,0.25,0.125,-0.00810358,-0.0167002,0.0026176,300.692,-24.4768,2.44468,5.50673e-05,6.54981e-07,0.000416679,0.000490148
2.75,2.75,0.25,0.125,-0.00744059,-0.0129273,0.00277767,300.693,-24.4769,2.44452,5.17236e-05,5.96201e-07,0.000403856,0.000475045
3.25,2.75,0.25,0.125,-0.00614324,-0.0103603,0.00282231,300.694,-24.4769,2.44443,4.84095e-05,5.39824e-07,0.000390708,0.00045963
3.75,2.75,0.25,0.125,-0.00435223,-0.00827927,0.00291627,300.694,-24.4769,2.44439,4.50012e-05,4.83799e-07,0.000376726,0.00044318
4.25,2.75,0.25,0.125,-0.00234821,-0.00707408,0.00313183,300.694,-24.4769,2.4444,4.19253e-05,4.35125e-07,0.000363563,0.000427974
4.75,2.75,0.25,0.125,-0.000695864,-0.0065887,0.00353128,300.693,-24.4769,2.44444,3.91776e-05,3.93189e-07,0.000351332,0.000413866
5.25,2.75,0.25,0.125,0.000796946,-0.00675764,0.00349725,300.693,-24.4769,2.44445,3.93603e-05,3.95566e-07,0.000352485,0.000414527
5.75,2.75,0.25,0.125,0.00248752,-0.00732571,0.00307977,300.694,-24.4769,2.4444,4.22327e-05,4.39671e-07,0.0003651,0.000429318
6.25,2.75,0.25,0.125,0.00451548,-0.00853085,0.00285674,300.694,-24.4769,2.4444,4.53647e-05,4.89583e-07,0.000378314,0.000444908
6.75,2.75,0.25,0.125,0.00631019,-0.0105964,0.00276527,300.694,-24.4769,2.44444,4.87923e-05,5.46204e-07,0.000392275,0.000461398
7.25,2.75,0.25,0.125,0.0075918,-0.01314,0.00272525,300.693,-24.4769,2.44453,5.21103e-05,6.02922e-07,0.000405349,0.000476828
7.75,2.75,0.25,0.125,0.00824327,-0.0168883,0.0025824,300.691,-24.4768,2.4447,5.54409e-05,6.6168e-07,0.000418076,0.000491828
8.25,2.75,0.25,0.125,0.00762898,-0.022414,0.00232844,300.689,-24.4768,2.44496,5.86223e-05,7.19466e-07,0.000429891,0.000505737
8.75,2.75,0.25,0.125,0.00688393,-0.0310507,0.00192651,300.685,-24.4767,2.44537,6.16157e-05,7.75282e-07,0.000440723,0.000518483
9.25,2.75,0.25,0.125,0.00241681,-0.0427054,0.00152718,300.679,-24.4766,2.44595,6.33335e-05,8.07933e-07,0.000446822,0.000525659
9.75,2.75,0.25,0.125,0.000551511,-0.0565294,-0.000404502,300.67,-24.4765,2.44673,6.27078e-05,7.95987e-07,0.000444611,0.000523057
0.25,3.25,0.25,0.125,-0.00142151,-0.0530549,-0.00141641,300.67,-29.3713,2.44709,6.40443e-05,8.2157e-07,0.000449323,0.000528606
0.75,3.25,0.25,0.125,-0.00397837,-0.0417806,0.000249933,300.678,-29.3715,2.44614,6.69541e-05,8.78198e-07,0.000459414,0.000540479
1.25,3.25,0.25,0.125,-0.00953711,-0.0330314,1.39194e-05,300.685,-29.3716,2.44546,6.83099e-05,9.05012e-07,0.000464039,0.000545921
1.75,3.25,0.25,0.125,-0.0109829,-0.0271204,-0.000403634,300.689,-29.3717,2.44495,6.85387e-05,9.09563e-07,0.000464816,0.00054683
2.25,3.25,0.25,0.125,-0.0117112,-0.0233968,-0.000934172,300.691,-29.3717,2.44461,6.82252e-05,9.0332e-07,0.000463757,0.000545572
2.75,3.25,0.25,0.125,-0.01071,-0.0208187,-0.00144875,300.693,-29.3718,2.44438,6.71891e-05,8.8281e-07,0.000460229,0.000541411
3.25,3.25,0.25,0.125,-0.00886318,-0.0188546,-0.00181767,300.695,-29.3718,2.44423,6.54856e-05,8.49455e-07,0.000454353,0.000534512
3.75,3.25,0.25,0.125,-0.00632386,-0.0171676,-0.00197439,300.695,-29.3718,2.44414,6.30777e-05,8.03037e-07,0.000445921,0.000524601
4.25,3.25,0.25,0.125,-0.00327936,-0.0160247,-0.00176987,300.696,-29.3718,2.44412,6.00291e-05,7.45473e-07,0.000435045,0.000511798
4.75,3.25,0.25,0.125,-0.000878435,-0.0152653,-0.00104335,300.695,-29.3719,2.44419,5.60762e-05,6.73017e-07,0.000420507,0.000494677
5.25,3.25,0.25,0.125,0.00105636,-0.0153742,-0.0010727,300.695,-29.3719,2.4442,5.61649e-05,6.74558e-07,0.000420875,0.000495045
5.75,3.25,0.25,0.125,0.00344596,-0.0162227,-0.0018177,300.695,-29.3718,2.44413,6.01678e-05,7.47981e-07,0.000435592,0.000512368
6.25,3.25,0.25,0.125,0.00647735,-0.0173838,-0.0020372,300.695,-29.3718,2.44415,6.32963e-05,8.07125e-07,0.000446743,0.000525513
6.75,3.25,0.25,0.125,0.0090095,-0.0190691,-0.001878,300.695,-29.3718,2.44424,6.57639e-05,8.54829e-07,0.000455343,0.000535656
7.25,3.25,0.25,0.125,0.0108532,-0.0210254,-0.0015017,300.693,-29.3718,2.44439,6.75138e-05,8.89205e-07,0.000461345,0.000542734
7.75,3.25,0.25,0.125,0.0118533,-0.0235805,-0.000977468,300.691,-29.3717,2.44463,6.8579e-05,9.10353e-07,0.00046496,0.000546995
8.25,3.25,0.25,0.125,0.0111282,-0.027278,-0.000434113,300.689,-29.3717,2.44496,6.89072e-05,9.16906e-07,0.000466065,0.000548299
8.75,3.25,0.25,0.125,0.00967592,-0.033167,-6.72732e-06,300.684,-29.3716,2.44547,6.86766e-05,9.12313e-07,0.000465282,0.000547378
9.25,3.25,0.25,0.125,0.00410517,-0.0418955,0.000249967,300.678,-29.3715,2.44616,6.73035e-05,8.85089e-07,0.000460608,0.000541879
9.75,3.25,0.25,0.125,0.00150011,-0.0532291,-0.00135911,300.67,-29.3713,2.44711,6.43479e-05,8.27426e-07,0.000450383,0.00052985
0.25,3.75,0.25,0.125,-0.00293813,-0.0467652,-0.00293332,300.669,-34.266,2.44769,6.60293e-05,8.60071e-07,0.000456227,0.00053673
0.75,3.75,0.25,0.125,-0.00618258,-0.0382506,-0.00188232,300.677,-34.2662,2.44654,7.13922e-05,9.66964e-07,0.000474388,0.000558098
1.25,3.75,0.25,0.125,-0.0126034,-0.0324559,-0.00272462,300.684,-34.2663,2.44573,7.56034e-05,1.05378e-06,0.000488173,0.000574318
1.75,3.75,0.25,0.125,-0.01449,-0.029089,-0.00376368,300.688,-34.2665,2.4451,7.85005e-05,1.11494e-06,0.000497434,0.000585214
2.25,3.75,0.25,0.125,-0.0151224,-0.0271802,-0.00482197,300.691,-34.2666,2.44468,8.04721e-05,1.15721e-06,0.000503641,0.000592512
2.75,3.75,0.25,0.125,-0.0137216,-0.026041,-0.00580569,300.693,-34.2666,2.44436,8.13088e-05,1.1753e-06,0.000506254,0.000595578
3.25,3.75,0.25,0.125,-0.0111815,-0.025188,-0.00661194,300.695,-34.2667,2.44414,8.10306e-05,1.16927e-06,0.00050539,0.000594556
3.75,3.75,0.25,0.125,-0.00784552,-0.0243125,-0.00715625,300.696,-34.2667,2.44399,7.94047e-05,1.13424e-06,0.000500298,0.00058856
4.25,3.75,0.25,0.125,-0.00389213,-0.023555,-0.00716869,300.696,-34.2667,2.44394,7.61912e-05,1.06607e-06,0.00049008,0.000576531
4.75,3.75,0.25,0.125,-0.00102278,-0.0227001,-0.00626064,300.695,-34.2667,2.44404,7.08539e-05,9.56007e-07,0.000472617,0.000555975
5.25,3.75,0.25,0.125,0.00119394,-0.0227726,-0.0062745,300.695,-34.2667,2.44404,7.08797e-05,9.56486e-07,0.000472723,0.000556092
5.75,3.75,0.25,0.125,0.0040538,-0.0236862,-0.00719183,300.696,-34.2667,2.44396,7.62224e-05,1.06667e-06,0.000490205,0.000576671
6.25,3.75,0.25,0.125,0.00799911,-0.0244577,-0.00719797,300.696,-34.2667,2.444,7.95349e-05,1.13698e-06,0.000500731,0.000589067
6.75,3.75,0.25,0.125,0.0113334,-0.0253343,-0.00666042,300.695,-34.2667,2.44415,8.12485e-05,1.17395e-06,0.000506084,0.000595376
7.25,3.75,0.25,0.125,0.0138716,-0.0261848,-0.00585283,300.693,-34.2666,2.44438,8.16006e-05,1.18161e-06,0.000507172,0.000596662
7.75,3.75,0.25,0.125,0.0152708,-0.027317,-0.00486393,300.691,-34.2666,2.44469,8.08182e-05,1.16467e-06,0.00050473,0.000593791
8.25,3.75,0.25,0.125,0.0146368,-0.0292158,-0.00379663,300.688,-34.2665,2.44512,7.88769e-05,1.12296e-06,0.000498629,0.000586614
8.75,3.75,0.25,0.125,0.0127436,-0.0325717,-0.00274987,300.683,-34.2663,2.44574,7.59853e-05,1.06178e-06,0.000489405,0.000575761
9.25,3.75,0.25,0.125,0.0063102,-0.0383564,-0.00188899,300.677,-34.2662,2.44656,7.17556e-05,9.74361e-07,0.000475592,0.000559509
9.75,3.75,0.25,0.125,0.00301702,-0.0469091,-0.00288564,300.669,-34.266,2.44772,6.63309e-05,8.65976e-07,0.000457266,0.000537949
0.25,4.25,0.25,0.125,-0.00569468,-0.0348816,-0.00569009,300.667,-39.1604,2.44862,6.86661e-05,9.12113e-07,0.000465241,0.000547337
0.75,4.25,0.25,0.125,-0.0100183,-0.029317,-0.0052458,300.676,-39.1608,2.44722,7.70186e-05,1.08352e-06,0.000492718,0.000579665
1.25,4.25,0.25,0.125,-0.0168884,-0.0265933,-0.00642723,300.682,-39.161,2.44628,8.40527e-05,1.23531e-06,0.000514719,0.000605552
1.75,4.25,0.25,0.125,-0.0189591,-0.0255807,-0.00774374,300.686,-39.1611,2.44554,8.94069e-05,1.35522e-06,0.000530852,0.000624536
2.25,4.25,0.25,0.125,-0.0193091,-0.0253211,-0.00903853,300.69,-39.1612,2.44502,9.3458e-05,1.44839e-06,0.000542739,0.000638522
2.75,4.25,0.25,0.125,-0.0174748,-0.025458,-0.010171,300.693,-39.1613,2.44461,9.5953e-05,1.50678e-06,0.000549933,0.000646983
3.25,4.25,0.25,0.125,-0.0142979,-0.0256369,-0.0111202,300.695,-39.1613,2.44431,9.69447e-05,1.53021e-06,0.000552766,0.000650313
3.75,4.25,0.25,0.125,-0.0101172,-0.0256138,-0.0117927,300.696,-39.1613,2.4441,9.60453e-05,1.50896e-06,0.000550197,0.000647287
4.25,4.25,0.25,0.125,-0.00502604,-0.025329,-0.0119105,300.697,-39.1614,2.44401,9.25947e-05,1.42837e-06,0.000540226,0.000635553
4.75,4.25,0.25,0.125,-0.00143636,-0.0245865,-0.0107691,300.695,-39.1614,2.44412,8.56471e-05,1.27064e-06,0.000519571,0.000611248
5.25,4.25,0.25,0.125,0.00161018,-0.0246238,-0.0107755,300.695,-39.1614,2.44413,8.56199e-05,1.26998e-06,0.000519514,0.000611175
5.75,4.25,0.25,0.125,0.00518732,-0.0253953,-0.0119235,300.697,-39.1614,2.44403,9.25522e-05,1.4273e-06,0.000540133,0.000635439
6.25,4.25,0.25,0.125,0.0102707,-0.0256846,-0.0118238,300.696,-39.1613,2.44411,9.6131e-05,1.5109e-06,0.000550471,0.000647605
6.75,4.25,0.25,0.125,0.0144518,-0.0257106,-0.0111591,300.695,-39.1613,2.44432,9.71501e-05,1.53501e-06,0.000553375,0.000651024
