审阅包,定位编号,任务,审阅状态,专家姓名,是否同意初步归因,主因,次因,错误知识或步骤,建议的正确操作,知识依据或标准答案,训练用途,备注
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C01,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C02,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C03,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C04,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C05,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C06,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C07,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C08,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C09,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C10,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-105-C11,压力驱动分支流与标量源项,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C01,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C02,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C03,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C04,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C05,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C06,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C07,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
0295436bacd738a4e74011976b6614735251aa370f30c3df7547e583227fea8e,s-205-C08,可压缩激波管,未审阅,,,,,,,,待审，不自动入库,
