cell_id,x_m,y_m,z_m,volume_m3,UMean_x,UMean_y,UMean_z,translationalT,internalT,overallT,p,rhoNMean,rhoMMean,dsmcRhoNMean,momentumMean_x,momentumMean_y,momentumMean_z,linearKEMean,internalEMean,iDofMean
10,0.0025,-0.0375,-0.0375,1.25e-07,1945.859268,-0.09730769969,-5.062276409,295.3952622,297.5318221,296.2498862,0.4106433906,1.00688e+20,4.8376944e-06,12.586,0.009413472486,-4.707449139e-07,-2.448974624e-05,9.774673438,0.4136135269,2.01376e+20
11,0.0075,-0.0375,-0.0375,1.25e-07,1947.014431,1.305087908,-3.213993671,295.5898154,295.3789191,295.5054569,0.4122850849,1.01024e+20,4.85342432e-06,12.628,0.009449687193,6.334145394e-06,-1.559887505e-05,9.817795497,0.4119909293,2.02048e+20
12,0.0125,-0.0375,-0.0375,1.25e-07,1946.771974,1.88925198,1.354684577,297.3631805,293.4236796,295.7873801,0.4114084284,1.00208e+20,4.81203792e-06,12.526,0.00936794056,9.091152167e-06,6.518793556e-06,9.735747713,0.4059580433,2.00416e+20
13,0.0175,-0.0375,-0.0375,1.25e-07,1951.266818,5.562413705,5.67083825,295.9763646,294.5345142,295.3996245,0.4082147825,9.9896e+19,4.79551744e-06,12.487,0.009357334055,2.667465193e-05,2.719460373e-05,9.741801192,0.406226162,1.99792e+20
14,0.0225,-0.0375,-0.0375,1.25e-07,1950.490012,4.38584698,4.058446275,296.775224,298.1942686,297.3428418,0.4082676392,9.964e+19,4.7860496e-06,12.455,0.009335141941,2.099088118e-05,1.942392517e-05,9.716537463,0.41021979,1.9928e+20
15,0.0275,-0.0375,-0.0375,1.25e-07,1950.823238,-2.579812618,7.171625012,297.563279,302.4697269,299.5258582,0.4127698623,1.00472e+20,4.82118928e-06,12.559,0.009405288081,-1.243776494e-05,3.457576163e-05,9.793322093,0.4195759232,2.00944e+20
16,0.0325,-0.0375,-0.0375,1.25e-07,1950.830973,-2.711927954,3.822593226,298.8977388,305.5361814,301.5531158,0.4164037284,1.00904e+20,4.839e-06,12.613,0.009440071076,-1.312301937e-05,1.849752862e-05,9.832650261,0.4256519492,2.01808e+20
17,0.0375,-0.0375,-0.0375,1.25e-07,1950.495724,0.7491817281,-1.791827095,299.0824086,304.8995995,301.4092849,0.4108139354,9.9488e+19,4.77257344e-06,12.436,0.009308884085,3.575524817e-06,-8.551626403e-06,9.694699204,0.4188043188,1.98976e+20
18,0.0425,-0.0375,-0.0375,1.25e-07,1954.787947,-0.3951292138,0.9647209431,296.1354468,301.582633,298.3143213,0.3991121965,9.7616e+19,4.6789584e-06,12.202,0.009146371484,-1.848793154e-06,4.51388916e-06,9.538279205,0.4064535615,1.95232e+20
19,0.0475,-0.0375,-0.0375,1.25e-07,1950.423189,4.418155688,-3.637365936,297.0174917,302.6848619,299.2844398,0.4064029082,9.9104e+19,4.74936848e-06,12.388,0.009263278416,2.098344936e-05,-1.727519112e-05,9.643338649,0.4141574539,1.98208e+20
20,-0.0475,-0.0325,-0.0375,1.25e-07,1949.361532,-4.592732961,-4.339615642,300.5484289,300.8291424,300.6607143,0.4197988299,1.01168e+20,4.85821376e-06,12.646,0.009470415019,-2.231247847e-05,-2.108278042e-05,9.860426594,0.4201909238,2.02336e+20
21,-0.0425,-0.0325,-0.0375,1.25e-07,1948.800563,-2.990061822,-8.075314042,296.8518339,301.6547084,298.7729837,0.4116518178,1.0044e+20,4.82044272e-06,12.555,0.009394081489,-1.441342174e-05,-3.892658879e-05,9.771252097,0.4183120833,2.0088e+20
22,-0.0375,-0.0325,-0.0375,1.25e-07,1948.230736,-1.153753389,-8.293764286,301.1395554,301.5165694,301.290361,0.4217886525,1.01448e+20,4.86842688e-06,12.681,0.009484818885,-5.616964012e-06,-4.037758499e-05,9.872161499,0.422316714,2.02896e+20
23,-0.0325,-0.0325,-0.0375,1.25e-07,1944.850304,-0.5429407277,-3.811845856,305.0768772,301.5058652,303.6484724,0.4232261715,1.0048e+20,4.82134944e-06,12.56,0.009376802924,-2.617706974e-06,-1.837824088e-05,9.753114003,0.4182721883,2.0096e+20
24,-0.0275,-0.0325,-0.0375,1.25e-07,1950.170912,0.3639646729,2.981701226,298.4097976,297.7903858,298.1620329,0.4091978906,9.932e+19,4.7698456e-06,12.415,0.009302014142,1.736055294e-06,1.422225447e-05,9.684077054,0.408348515,1.9864e+20
25,-0.0225,-0.0325,-0.0375,1.25e-07,1949.944102,2.044165302,3.969559144,298.1269532,295.3781316,297.0274246,0.4110491897,9.9864e+19,4.79360576e-06,12.483,0.009347263277,9.798922566e-06,1.902850158e-05,9.729942014,0.4072591907,1.99728e+20
26,-0.0175,-0.0325,-0.0375,1.25e-07,1949.367642,-0.3845628219,0.2494205504,297.3120311,293.7166194,295.8738664,0.412027275,1.00376e+20,4.82223312e-06,12.547,0.009400305206,-1.854451576e-06,1.202764039e-06,9.780366815,0.4070446052,2.00752e+20
27,-0.0125,-0.0325,-0.0375,1.25e-07,1949.587047,-1.735490578,-0.114871041,299.8078417,293.5418213,297.3014335,0.4117110335,9.9464e+19,4.77564128e-06,12.433,0.009310528378,-8.288080445e-06,-5.485828853e-07,9.693416535,0.4031062227,1.98928e+20
28,-0.0075,-0.0325,-0.0375,1.25e-07,1950.710712,0.07496401528,0.007713204247,301.5186983,295.9108635,299.2755644,0.4120955696,9.8992e+19,4.75464656e-06,12.374,0.009274939979,3.564273974e-07,3.667356004e-08,9.664505755,0.4044311564,1.97984e+20
29,-0.0025,-0.0325,-0.0375,1.25e-07,1948.670608,3.859540985,-0.9871087234,299.6810642,295.97037,298.1967865,0.4073000885,9.844e+19,4.72728384e-06,12.305,0.009211919077,1.824514573e-05,-4.666343117e-06,9.586485621,0.4022568401,1.9688e+20
30,0.0025,-0.0325,-0.0375,1.25e-07,1948.69757,3.986490451,-3.900784778,301.2956678,299.6735886,300.6468361,0.4107923852,9.8752e+19,4.73877312e-06,12.344,0.009234435664,1.889107379e-05,-1.848493405e-05,9.613823454,0.4085808107,1.97504e+20
31,0.0075,-0.0325,-0.0375,1.25e-07,1947.588081,1.350474169,2.229567764,302.2207956,292.7367975,298.4271963,0.4126211975,9.8888e+19,4.74965168e-06,12.361,0.009250364999,6.414281907e-06,1.058967028e-05,9.62689824,0.3996727218,1.97776e+20
32,0.0125,-0.0325,-0.0375,1.25e-07,1950.016715,-1.697164116,6.240059788,297.6911234,297.4894557,297.6104563,0.4044968946,9.8416e+19,4.72447312e-06,12.302,0.009212801552,-8.018206249e-06,2.948099473e-05,9.589402635,0.4042228726,1.96832e+20
33,0.0175,-0.0325,-0.0375,1.25e-07,1946.750211,-4.13521782,4.470311117,299.1151978,297.8410552,298.6055407,0.4093392319,9.912e+19,4.75731504e-06,12.39,0.009261304058,-1.967253393e-05,2.126667831e-05,9.628819872,0.4075955674,1.9824e+20
34,0.0225,-0.0325,-0.0375,1.25e-07,1944.193483,0.03529963665,0.05057655542,303.3961814,301.1540111,302.4993133,0.4163036127,9.9384e+19,4.76821408e-06,12.423,0.00927033074,1.683162245e-07,2.411598437e-07,9.636113733,0.4132270296,1.98768e+20
35,0.0275,-0.0325,-0.0375,1.25e-07,1945.534579,5.425445072,0.8417764968,304.6491733,299.6084625,302.632889,0.4230029679,1.00568e+20,4.8252296e-06,12.571,0.009387651036,2.617901815e-05,4.061764869e-06,9.766577029,0.4160039809,2.01136e+20
36,0.0325,-0.0325,-0.0375,1.25e-07,1946.880192,6.051965621,0.8712176931,300.1695282,300.7982803,300.421029,0.4232149551,1.0212e+20,4.89993968e-06,12.765,0.009539595505,2.965426649e-05,4.268914144e-06,9.921138789,0.4241014453,2.0424e+20
37,0.0375,-0.0325,-0.0375,1.25e-07,1949.615219,4.111340265,0.8217563744,298.1875742,306.1100098,301.3565484,0.4164683094,1.0116e+20,4.85032144e-06,12.645,0.009456260495,1.994132183e-05,3.985782561e-06,9.842779781,0.4275333021,2.0232e+20
38,0.0425,-0.0325,-0.0375,1.25e-07,1948.790326,-1.196981462,-1.161712756,298.3065653,302.8159447,300.110317,0.4148882266,1.00736e+20,4.83399488e-06,12.592,0.009420442459,-5.786202258e-06,-5.615713514e-06,9.801572631,0.4211599237,2.01472e+20
39,0.0475,-0.0325,-0.0375,1.25e-07,1949.427135,-4.381203485,-1.710847157,304.3665342,301.5479681,303.2391078,0.42382077,1.00856e+20,4.83989264e-06,12.607,0.009435018041,-2.12045545e-05,-8.280316562e-06,9.832224781,0.4198960058,2.01712e+20
40,-0.0475,-0.0275,-0.0375,1.25e-07,1941.13313,-3.370069886,1.621406117,302.8139363,297.7620942,300.7931995,0.4192172389,1.00272e+20,4.81443136e-06,12.534,0.009345452213,-1.622497014e-05,7.806148456e-06,9.699242978,0.4122234416,2.00544e+20
41,-0.0425,-0.0275,-0.0375,1.25e-07,1944.447456,-5.269889089,-0.5075848792,303.2812713,296.7002571,300.6488656,0.4196632318,1.00224e+20,4.81421184e-06,12.528,0.009360981963,-2.537036245e-05,-2.443621135e-06,9.730531098,0.4105568018,2.00448e+20
42,-0.0375,-0.0275,-0.0375,1.25e-07,1948.17187,-5.674877135,2.86431338,299.2304365,297.2456923,298.4365388,0.4086706711,9.892e+19,4.750716e-06,12.365,0.009255211275,-2.695972961e-05,1.36075394e-05,9.628473121,0.4059600287,1.9784e+20
43,-0.0325,-0.0275,-0.0375,1.25e-07,1951.70833,-0.9999567146,0.05146215853,298.1613271,298.5743848,298.3265502,0.4043783505,9.8232e+19,4.71914768e-06,12.279,0.009210399836,-4.71894341e-06,2.42857526e-07,9.594576931,0.4049385559,1.96464e+20
44,-0.0275,-0.0275,-0.0375,1.25e-07,1951.052168,-2.854567878,-1.05535616,302.1554047,296.8979486,300.0524223,0.4084269583,9.7904e+19,4.6992352e-06,12.238,0.009168453025,-1.341428585e-05,-4.959366814e-06,9.556727277,0.401320394,1.95808e+20
45,-0.0225,-0.0275,-0.0375,1.25e-07,1950.438139,1.849564494,-2.097493744,302.5136646,297.2204672,300.3963856,0.4095460738,9.8056e+19,4.70429072e-06,12.257,0.009175428038,8.700889086e-06,-9.867220357e-06,9.562389899,0.4023800895,1.96112e+20
46,-0.0175,-0.0275,-0.0375,1.25e-07,1948.026418,3.739348738,0.9604408854,299.3498469,299.8494941,299.5497058,0.3992783195,9.6608e+19,4.63240416e-06,12.076,0.009024045682,1.732217465e-05,4.449150353e-06,9.388491694,0.3999447581,1.93216e+20
47,-0.0125,-0.0275,-0.0375,1.25e-07,1952.547642,1.169313855,3.844952954,302.3684337,303.386096,302.7754986,0.4088485008,9.7936e+19,4.6975456e-06,12.242,0.009172181583,5.492905153e-06,1.806184183e-05,9.567871446,0.4102245364,1.95872e+20
48,-0.0075,-0.0275,-0.0375,1.25e-07,1951.680219,0.1364112194,8.162397094,299.770234,304.4201207,301.6301887,0.4117918296,9.9496e+19,4.77633488e-06,12.437,0.009321878307,6.515456652e-07,3.898634195e-05,9.71450965,0.4181793396,1.98992e+20
49,-0.0025,-0.0275,-0.0375,1.25e-07,1945.397598,-2.491613205,8.759729158,300.8442585,303.8350294,302.0405669,0.4146960485,9.984e+19,4.79556144e-06,12.48,0.009329273709,-1.194868421e-05,4.200781937e-05,9.696816281,0.4188186497,1.9968e+20
50,0.0025,-0.0275,-0.0375,1.25e-07,1945.308811,-3.119415792,5.383817748,302.1208716,299.8783837,301.2238764,0.4142867437,9.932e+19,4.76820384e-06,12.415,0.00927562894,-1.487401036e-05,2.567114046e-05,9.643503769,0.4112117062,1.9864e+20
51,0.0075,-0.0275,-0.0375,1.25e-07,1953.633083,4.475711323,1.501099676,293.644404,302.2109187,297.0710099,0.3979279821,9.8152e+19,4.70663632e-06,12.269,0.009195040425,2.106554547e-05,7.065130255e-06,9.578812006,0.409536771,1.96304e+20
52,0.0125,-0.0275,-0.0375,1.25e-07,1950.336728,8.632941702,-3.111566675,297.5628903,302.2340481,299.4313534,0.4023835355,9.7944e+19,4.69516368e-06,12.243,0.00915715017,4.053307433e-05,-1.460931484e-05,9.533536143,0.4087001732,1.95888e+20
53,0.0175,-0.0275,-0.0375,1.25e-07,1947.786483,8.960168017,-0.8330446565,299.2712011,300.8822681,299.9156279,0.4072058102,9.8552e+19,4.72571296e-06,12.319,0.009204679825,4.234318212e-05,-3.936729929e-06,9.575375527,0.4093979217,1.97104e+20
54,0.0225,-0.0275,-0.0375,1.25e-07,1948.650808,2.373611462,-2.511276322,299.1286312,298.2749703,298.7871668,0.40810212,9.8816e+19,4.74227872e-06,12.352,0.00924104526,1.125632713e-05,-1.190917226e-05,9.615966649,0.4069374678,1.97632e+20
55,0.0275,-0.0275,-0.0375,1.25e-07,1948.028538,-2.029139109,-3.667955118,299.8963654,294.1780856,297.6090535,0.4125282059,9.9632e+19,4.7854128e-06,12.454,0.009322120702,-9.710268267e-06,-1.755267937e-05,9.698712934,0.4046623163,1.99264e+20
56,0.0325,-0.0275,-0.0375,1.25e-07,1945.213577,-2.890958018,-0.5759944269,301.7518057,296.7236662,299.7405499,0.4192466286,1.00632e+20,4.8340312e-06,12.579,0.00940322312,-1.397498126e-05,-2.784375031e-06,9.774529584,0.4122606538,2.01264e+20
57,0.0375,-0.0275,-0.0375,1.25e-07,1943.124232,-4.86102907,0.673706532,301.2246515,296.7970946,299.4536287,0.416883941,1.0024e+20,4.82078144e-06,12.53,0.009367377234,-2.343395872e-05,3.247791946e-06,9.72637281,0.4107563636,2.0048e+20
58,0.0425,-0.0275,-0.0375,1.25e-07,1944.212325,-0.4028126105,2.653849163,299.7372205,299.0190909,299.4499687,0.414957817,1.00272e+20,4.81559648e-06,12.534,0.009362542027,-1.939782989e-06,1.277986669e-05,9.723838873,0.4139636346,2.00544e+20
59,0.0475,-0.0275,-0.0375,1.25e-07,1944.007713,-1.11256943,4.873099702,301.5656843,300.0293311,300.951143,0.420420303,1.00976e+20,4.84642592e-06,12.622,0.009421489371,-5.391985322e-06,2.361711671e-05,9.788415002,0.4182784345,2.01952e+20
60,-0.0475,-0.0225,-0.0375,1.25e-07,1943.974596,-1.250674021,-1.760163262,305.8850254,301.1348891,303.9849709,0.4241445834,1.00432e+20,4.82081216e-06,12.554,0.00937153637,-6.02926453e-06,-8.485416456e-06,9.745242426,0.417557976,2.00864e+20
61,-0.0425,-0.0225,-0.0375,1.25e-07,1949.563027,6.215342432,-1.673224436,303.5291706,300.369932,302.2654752,0.4133011799,9.8624e+19,4.73239744e-06,12.328,0.00922610708,2.941347061e-05,-7.918363037e-06,9.613488427,0.4089993956,1.97248e+20
62,-0.0375,-0.0225,-0.0375,1.25e-07,1947.519979,4.476160817,-4.825452773,301.2839535,300.3346303,300.9042242,0.4102439749,9.8624e+19,4.73229152e-06,12.328,0.009216232283,2.118249788e-05,-2.283544924e-05,9.589866719,0.4089513269,1.97248e+20
63,-0.0325,-0.0225,-0.0375,1.25e-07,1947.277095,-2.947945908,-4.179318649,305.4343119,301.9082644,304.0238929,0.4169748665,9.888e+19,4.74181232e-06,12.36,0.00923362252,-1.397860623e-05,-1.981754466e-05,9.615735135,0.4121611533,1.9776e+20
64,-0.0275,-0.0225,-0.0375,1.25e-07,1949.629994,-5.140167236,-1.963861253,304.9122146,299.1065857,302.589963,0.4167336004,9.8992e+19,4.74924464e-06,12.374,0.009259269799,-2.441191169e-05,-9.326857531e-06,9.651247361,0.4087988555,1.97984e+20
65,-0.0225,-0.0225,-0.0375,1.25e-07,1950.155528,-3.217494046,0.05817589078,303.1617314,295.6797479,300.168938,0.4141067635,9.8936e+19,4.74626992e-06,12.367,0.009255964522,-1.527109521e-05,2.761184805e-07,9.646469911,0.4038866741,1.97872e+20
66,-0.0175,-0.0225,-0.0375,1.25e-07,1947.184421,4.139240707,-3.935018494,301.3617564,296.881107,299.5694966,0.4074540327,9.7928e+19,4.69945088e-06,12.241,0.009150697542,1.945215838e-05,-1.849242612e-05,9.52030554,0.4013960023,1.95856e+20
67,-0.0125,-0.0225,-0.0375,1.25e-07,1945.937106,8.858515646,-2.624045802,301.0512654,294.5029619,298.431944,0.408730073,9.8336e+19,4.71964096e-06,12.292,0.009184124469,4.180901329e-05,-1.238455405e-05,9.549160834,0.3998395986,1.96672e+20
68,-0.0075,-0.0225,-0.0375,1.25e-07,1943.936938,4.541679314,-4.6077334,299.3577264,296.2750863,298.1246704,0.405141274,9.8024e+19,4.703756e-06,12.253,0.009143805037,2.136295132e-05,-2.167365362e-05,9.495300539,0.4009693265,1.96048e+20
69,-0.0025,-0.0225,-0.0375,1.25e-07,1945.370626,9.967957677,-5.086643405,296.2945765,296.7010772,296.4571768,0.3949413331,9.6544e+19,4.62979888e-06,12.068,0.009006674745,4.614963929e-05,-2.355013594e-05,9.353362148,0.395483172,1.93088e+20
70,0.0025,-0.0225,-0.0375,1.25e-07,1952.496691,8.439395355,-3.312380863,292.8524341,297.7718248,294.8201904,0.3890269903,9.6216e+19,4.61687712e-06,12.027,0.009014437301,3.896365132e-05,-1.529285542e-05,9.38405973,0.3955619394,1.92432e+20
71,0.0075,-0.0225,-0.0375,1.25e-07,1947.514262,3.89866234,-1.806002191,298.0852081,295.6460262,297.1095353,0.4085552487,9.9272e+19,4.76088768e-06,12.409,0.009271896656,1.85610935e-05,-8.598173583e-06,9.641452305,0.4052121089,1.98544e+20
72,0.0125,-0.0225,-0.0375,1.25e-07,1947.736555,4.843174306,0.3458943579,302.3948127,293.5469013,298.8556482,0.4191046036,1.00384e+20,4.8172032e-06,12.548,0.009382642766,2.333055476e-05,1.666243408e-06,9.76617184,0.4068418258,2.00768e+20
73,0.0175,-0.0225,-0.0375,1.25e-07,1946.568297,5.917694013,-1.783158707,306.0150368,295.5086806,301.8124943,0.4296314548,1.01688e+20,4.87900432e-06,12.711,0.00949731513,2.887245465e-05,-8.700039034e-06,9.888126636,0.4148809997,2.03376e+20
74,0.0225,-0.0225,-0.0375,1.25e-07,1945.852412,5.784745406,1.445037865,301.5106859,296.0257579,299.3167147,0.4209430727,1.0112e+20,4.85227456e-06,12.64,0.009441810155,2.806917297e-05,7.011720473e-06,9.817685393,0.4132854918,2.0224e+20
75,0.0275,-0.0225,-0.0375,1.25e-07,1948.459907,4.079167938,2.157627323,302.2873005,302.7945384,302.4901957,0.4171526321,9.9952e+19,4.79309024e-06,12.494,0.009339144162,1.955182003e-05,1.034170246e-05,9.724253964,0.4178526139,1.99904e+20
76,0.0325,-0.0225,-0.0375,1.25e-07,1949.125443,0.9485940644,3.544960702,300.662159,301.9320046,301.1700972,0.4157401758,1.00152e+20,4.8032376e-06,12.519,0.009362112613,4.556322677e-06,1.702728853e-05,9.747608551,0.417496053,2.00304e+20
77,0.0375,-0.0225,-0.0375,1.25e-07,1948.81273,0.8367741247,2.038067658,305.8740818,297.7814906,302.6370453,0.4245686061,1.00536e+20,4.82204688e-06,12.567,0.009397266345,4.034964057e-06,9.827657789e-06,9.793620752,0.4133356826,2.01072e+20
78,0.0425,-0.0225,-0.0375,1.25e-07,1943.38005,-0.8241699809,-1.907121328,309.2973244,296.970304,304.3665163,0.4346495903,1.01784e+20,4.8860104e-06,12.723,0.009495375138,-4.026903098e-06,-9.318214642e-06,9.878546238,0.4173266652,2.03568e+20
79,0.0475,-0.0225,-0.0375,1.25e-07,1944.580667,1.391158337,-2.899916181,310.4197868,302.244796,307.1497905,0.4298496787,1.00296e+20,4.81692432e-06,12.537,0.009366897905,6.701104424e-06,-1.396867678e-05,9.752143719,0.4185294686,2.00592e+20
80,-0.0475,-0.0175,-0.0375,1.25e-07,1955.814061,6.085321993,-9.034128459,300.7023195,305.8419112,302.7581562,0.4013811908,9.668e+19,4.63432224e-06,12.085,0.009063872601,2.820134305e-05,-4.186706244e-05,9.465971451,0.4082415817,1.9336e+20
81,-0.0425,-0.0175,-0.0375,1.25e-07,1952.195488,0.8352112462,-5.497019476,299.1736755,304.1328642,301.157351,0.4052226286,9.8104e+19,4.7056224e-06,12.263,0.009186294817,3.930188749e-06,-2.586689798e-05,9.574628326,0.4119397153,1.96208e+20
82,-0.0375,-0.0175,-0.0375,1.25e-07,1949.323649,-5.429959173,-2.790627742,301.0036573,306.9291063,303.3738369,0.4085324508,9.8304e+19,4.71709376e-06,12.288,0.009195142422,-2.561362653e-05,-1.316365271e-05,9.575040874,0.4165746727,1.96608e+20
83,-0.0325,-0.0175,-0.0375,1.25e-07,1945.078133,3.172732216,-0.09983337904,304.8799,308.1078513,306.1710805,0.420595688,9.992e+19,4.79520352e-06,12.49,0.009327045511,1.521389669e-05,-4.787213706e-07,9.701833827,0.4250487936,1.9984e+20
84,-0.0275,-0.0175,-0.0375,1.25e-07,1942.321246,8.148517983,0.09171422135,305.7708725,298.1420658,302.7193498,0.421149365,9.976e+19,4.78575104e-06,12.47,0.009295465925,3.899677841e-05,4.389214302e-07,9.659273432,0.4106419315,1.9952e+20
85,-0.0225,-0.0175,-0.0375,1.25e-07,1943.193043,6.270109849,5.964692974,304.1881698,302.7032345,303.5941957,0.4209853423,1.0024e+20,4.80791216e-06,12.53,0.009342701463,3.014613739e-05,2.867771988e-05,9.708994295,0.4189302461,2.0048e+20
86,-0.0175,-0.0175,-0.0375,1.25e-07,1941.899347,-2.244671249,1.18162985,298.6038306,305.0727449,301.1913963,0.4077159468,9.8896e+19,4.7427152e-06,12.362,0.009209875552,-1.064583645e-05,5.604133849e-06,9.553914842,0.4165486518,1.97792e+20
87,-0.0125,-0.0175,-0.0375,1.25e-07,1946.120071,-2.961253834,2.427486608,295.8688263,306.0703116,299.9494204,0.4072494815,9.9696e+19,4.78341056e-06,12.462,0.009309091297,-1.416489286e-05,1.161166508e-05,9.669213995,0.4212913447,1.99392e+20
88,-0.0075,-0.0175,-0.0375,1.25e-07,1947.528778,-1.1453349,0.20530384,298.4081703,299.1932627,298.7222073,0.4132826717,1.00312e+20,4.81046576e-06,12.539,0.009368520504,-5.509594319e-06,9.876070925e-07,9.742658909,0.4143699915,2.00624e+20
89,-0.0025,-0.0175,-0.0375,1.25e-07,1946.685588,-3.724643801,-2.979581325,298.684554,296.1079153,297.6538985,0.4132695677,1.00216e+20,4.80351264e-06,12.527,0.009350928828,-1.789137358e-05,-1.431245656e-05,9.721618185,0.4097044474,2.00432e+20
90,0.0025,-0.0175,-0.0375,1.25e-07,1943.225275,-1.51213673,-1.342850295,300.7515956,293.8413592,297.987501,0.4205808875,1.01288e+20,4.85574384e-06,12.661,0.00943580416,-7.342548612e-06,-6.520537047e-06,9.798827828,0.4109173865,2.02576e+20
91,0.0075,-0.0175,-0.0375,1.25e-07,1943.211767,-2.311189483,-4.939714314,301.0271152,302.6937217,301.6937578,0.4155465885,9.9984e+19,4.79537264e-06,12.498,0.009318424541,-1.108301481e-05,-2.368777087e-05,9.677227304,0.4178472206,1.99968e+20
92,0.0125,-0.0175,-0.0375,1.25e-07,1942.776614,-2.178375496,-7.047211123,300.0358416,298.1815854,299.2941391,0.4129520419,9.9688e+19,4.77806032e-06,12.461,0.009282703849,-1.040840952e-05,-3.367199983e-05,9.636668021,0.4103999505,1.99376e+20
93,0.0175,-0.0175,-0.0375,1.25e-07,1946.522812,-0.8487882956,-4.043822419,298.7489705,298.5086988,298.6528618,0.4121707894,9.9928e+19,4.79170944e-06,12.491,0.009327171732,-4.067146888e-06,-1.937682206e-05,9.696073362,0.411839297,1.99856e+20
94,0.0225,-0.0175,-0.0375,1.25e-07,1946.274363,-0.622885176,0.1538596294,304.6266206,300.9790313,303.1675849,0.4194724053,9.9736e+19,4.783364e-06,12.467,0.009309738724,-2.979486527e-06,7.359666124e-07,9.688862498,0.4144496562,1.99472e+20
95,0.0275,-0.0175,-0.0375,1.25e-07,1948.395502,1.574397901,4.087313053,304.2493754,301.0174818,302.956618,0.418784912,9.9696e+19,4.777532e-06,12.462,0.009308521858,7.521736352e-06,1.95272689e-05,9.696564253,0.4143363629,1.99392e+20
96,0.0325,-0.0175,-0.0375,1.25e-07,1949.082524,0.7501371244,3.951200526,303.7481381,304.8864125,304.2034479,0.4171220444,9.9464e+19,4.76600256e-06,12.433,0.0092893323,3.575155455e-06,1.883143182e-05,9.678559234,0.4186851793,1.98928e+20
97,0.0375,-0.0175,-0.0375,1.25e-07,1949.702604,-1.72621081,-0.348103927,304.3636528,301.2478693,303.1173394,0.4148408653,9.872e+19,4.73230688e-06,12.34,0.009226591048,-8.168959295e-06,-1.647334609e-06,9.616822933,0.410594122,1.9744e+20
98,0.0425,-0.0175,-0.0375,1.25e-07,1954.935935,-1.090977084,-2.776277332,299.4151736,301.5278089,300.2602277,0.3977449741,9.6216e+19,4.61142224e-06,12.027,0.00901503505,-5.030955987e-06,-1.280258703e-05,9.408545965,0.400551412,1.92432e+20
